Neuroectodermal melanolysosomal disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:CC	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	1.6967458349011616e-33	True	"""Cyclin-dependent protein kinases (CDKs) are enzyme complexes that contain a kinase catalytic subunit associated with a regulatory cyclin partner."" [GOC:krc, PMID:11602261]"	52	101	22	16420	0.2178217821782178	0.4230769230769231	query_1	['GO:1902554']	['CKS1B', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'CCNE2', 'RB1', 'CCNE1', 'CCNB2', 'CDKN2D', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'CCND2', 'MNAT1', 'CDK1', 'CDK2', 'CCND3', 'CDK4', 'CDK6', 'CCND1']
9	REAC	REAC:R-HSA-8953750	Transcriptional Regulation by E2F6	3.587236654192574e-33	True	Transcriptional Regulation by E2F6	34	98	21	10022	0.2142857142857142	0.6176470588235294	query_1	['REAC:R-HSA-212436']	['BMI1', 'EHMT2', 'CBX3', 'MAX', 'TFDP1', 'RING1', 'PHC1', 'RBBP4', 'PCGF6', 'RYBP', 'E2F6', 'E2F1', 'MGA', 'EHMT1', 'PCGF2', 'YAF2', 'L3MBTL2', 'RNF2', 'TFDP2', 'EPC1', 'PHC3']
1	GO:BP	GO:0000082	G1/S transition of mitotic cell cycle	3.717716762728096e-33	True	"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"	227	100	33	15719	0.33	0.145374449339207	query_1	['GO:0044772', 'GO:0044843']	['CDKN2B', 'AKT1', 'MYC', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
2	GO:BP	GO:0044843	cell cycle G1/S phase transition	3.845673828734281e-33	True	"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]"	255	100	34	15719	0.34	0.1333333333333333	query_1	['GO:0044770']	['CDKN2B', 'AKT1', 'MYC', 'CDK5', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
1	GO:CC	GO:0005654	nucleoplasm	3.312116131342131e-32	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	101	83	16420	0.8217821782178217	0.020760380190095	query_1	['GO:0031981', 'GO:0110165']	['SMAD1', 'PKMYT1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
10	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	1.0959575847358674e-30	True	Cell Cycle, Mitotic	546	98	46	10022	0.4693877551020408	0.0842490842490842	query_1	['REAC:R-HSA-1640170']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'CCND1']
3	GO:BP	GO:0044770	cell cycle phase transition	1.1749002753960824e-30	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	550	100	41	15719	0.41	0.0745454545454545	query_1	['GO:0022402']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CCNB2', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
2	GO:CC	GO:0031981	nuclear lumen	1.5406506550627772e-29	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	101	83	16420	0.8217821782178217	0.0190804597701149	query_1	['GO:0005634', 'GO:0070013']	['SMAD1', 'PKMYT1', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'STAT3', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'KLC2', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
3	GO:CC	GO:0005667	transcription regulator complex	1.5406506550627772e-29	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	508	101	38	16420	0.3762376237623762	0.0748031496062992	query_1	['GO:0032991']	['SMAD1', 'MYC', 'CREBBP', 'CBX3', 'E2F4', 'STAT3', 'CDK7', 'MAX', 'RBL1', 'RBL2', 'TFDP1', 'TRRAP', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SIN3A', 'E2F5', 'E2F2', 'CCNH', 'SMAD2', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MNAT1', 'RCOR1', 'CDK2', 'SP1', 'ESR1', 'KAT5', 'CDK4', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CCND1']
4	GO:CC	GO:1990234	transferase complex	2.7818174752902697e-29	True	"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]"	854	101	45	16420	0.4455445544554455	0.0526932084309133	query_1	['GO:1902494']	['BMI1', 'CKS1B', 'CREBBP', 'CDK5', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'TRRAP', 'RING1', 'RB1', 'PHC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PCGF6', 'CDK5R1', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'MGA', 'RUVBL1', 'MNAT1', 'CDK1', 'CDK2', 'PCGF2', 'KAT5', 'CCND3', 'SKP2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
11	REAC	REAC:R-HSA-1640170	Cell Cycle	7.228161254478935e-29	True	Cell Cycle	676	98	48	10022	0.4897959183673469	0.0710059171597633	query_1	['REAC:0000000']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CCNB2', 'RBX1', 'CDKN2D', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'RUVBL1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT5', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'CCND1']
4	GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	2.8277036292193847e-28	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5244	100	89	15719	0.89	0.0169717772692601	query_1	['GO:0006807', 'GO:0019222']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
12	REAC	REAC:R-HSA-69242	S Phase	1.0620803779295931e-27	True	S Phase	162	98	29	10022	0.2959183673469387	0.1790123456790123	query_1	['REAC:R-HSA-69278']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'RBBP4', 'CCNE1', 'RBX1', 'PSMC5', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SKP1', 'E2F1', 'MNAT1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
14	REAC	REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	1.4013170523878511e-27	True	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	17	98	15	10022	0.1530612244897959	0.8823529411764706	query_1	['REAC:R-HSA-9659787']	['CCNE2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN1A', 'E2F2', 'CCND2', 'E2F1', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TFDP2', 'CDK6', 'CCND1']
13	REAC	REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	1.4013170523878511e-27	True	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	17	98	15	10022	0.1530612244897959	0.8823529411764706	query_1	['REAC:R-HSA-9687139']	['CCNE2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN1A', 'E2F2', 'CCND2', 'E2F1', 'CDK2', 'CCND3', 'CDK4', 'CDKN1B', 'TFDP2', 'CDK6', 'CCND1']
15	REAC	REAC:R-HSA-1538133	G0 and Early G1	1.944709743679439e-27	True	G0 and Early G1	26	98	17	10022	0.173469387755102	0.6538461538461539	query_1	['REAC:R-HSA-453279']	['MYC', 'E2F4', 'CCNA1', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'HDAC1', 'RBBP4', 'CCNE1', 'E2F5', 'CCNA2', 'E2F1', 'CDK1', 'CDK2', 'TFDP2']
5	GO:BP	GO:0080090	regulation of primary metabolic process	3.1999087974666425e-27	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5409	100	89	15719	0.89	0.0164540580513958	query_1	['GO:0019222', 'GO:0044238']	['SMAD1', 'PKMYT1', 'OAZ1', 'CDKN2B', 'BMI1', 'AKT1', 'MYC', 'OAZ3', 'CKS1B', 'SERTAD1', 'CREBBP', 'CDK5', 'EHMT2', 'OAZ2', 'CBX3', 'E2F4', 'STAT3', 'ODC1', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'CCNB2', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PSMC5', 'PCGF6', 'CDK5R1', 'CDKN1A', 'E2F5', 'CCNA2', 'AZIN1', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'USP37', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'NQO1', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
16	REAC	REAC:R-HSA-2559583	Cellular Senescence	7.516988008101352e-27	True	Cellular Senescence	194	98	30	10022	0.3061224489795918	0.1546391752577319	query_1	['REAC:R-HSA-2262752']	['CDKN2B', 'BMI1', 'EHMT2', 'STAT3', 'CCNA1', 'CCNE2', 'TFDP1', 'RING1', 'RB1', 'PHC1', 'RBBP4', 'CCNE1', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'E2F1', 'EHMT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'SP1', 'KAT5', 'CDK4', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'CDK6', 'PHC3']
6	GO:BP	GO:1903047	mitotic cell cycle process	1.05109633659083e-26	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	750	100	42	15719	0.42	0.056	query_1	['GO:0000278', 'GO:0022402']	['PKMYT1', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'SMARCA4', 'CCNE1', 'CCNB2', 'SIN3A', 'CDKN2D', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'USP37', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'KAT5', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CDK6', 'CCND1']
