Nicolaides-Baraitser syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
262	GO:BP	GO:0050896	response to stimulus	6.594511924139893e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7975	100	79	15719	0.79	0.0099059561128526	query_1	['GO:0008150']	['REST', 'UBE2I', 'NRIP1', 'RXRA', 'CDKN2B', 'NCOA3', 'AKT1', 'CREBBP', 'CDK5', 'PPARG', 'CCNB1', 'CDK7', 'RBL1', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'CDKN2D', 'RXRB', 'NR1H3', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'RBPJ', 'MECP2', 'CCND2', 'E2F1', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'MNAT1', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2A', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'SKP2', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'CUL1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC']
263	GO:BP	GO:1903131	mononuclear cell differentiation	7.788343150796711e-08	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]"	466	100	17	15719	0.17	0.0364806866952789	query_1	['GO:0002521']	['CBFB', 'PPARG', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'GPS2', 'SMARCC2', 'CDKN2A', 'RARA', 'TP53', 'SMARCC1', 'CDK6']
264	GO:BP	GO:0031400	negative regulation of protein modification process	8.011091219241885e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	467	100	17	15719	0.17	0.0364025695931477	query_1	['GO:0031399', 'GO:0036211', 'GO:0051248']	['CDKN2B', 'AKT1', 'CDK5', 'PPARG', 'CTNNB1', 'RB1', 'CDKN2D', 'CDKN1A', 'WWTR1', 'SMARCB1', 'GPS2', 'CDKN2C', 'CDKN2A', 'KAT2B', 'CDKN1B', 'HDAC2', 'KDM1A']
265	GO:BP	GO:0010948	negative regulation of cell cycle process	8.30026902275839e-08	True	"""Any process that decreases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	298	100	14	15719	0.14	0.046979865771812	query_1	['GO:0010564', 'GO:0022402', 'GO:0045786']	['CDKN2B', 'CCNB1', 'RBL1', 'RBL2', 'RB1', 'CDKN2D', 'CDKN1A', 'E2F1', 'CDK1', 'CDK2', 'KAT2B', 'CDKN1B', 'TP53', 'CCND1']
266	GO:BP	GO:1901699	cellular response to nitrogen compound	8.392912461083304e-08	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]"	667	100	20	15719	0.2	0.0299850074962518	query_1	['GO:0070887', 'GO:1901698']	['AKT1', 'CDK5', 'PPARG', 'NCOA2', 'CTNNB1', 'RB1', 'SIN3A', 'CCNA2', 'PRMT5', 'CDK2', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1']
267	GO:BP	GO:0022008	neurogenesis	8.392912461083304e-08	True	"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]"	1581	100	31	15719	0.31	0.0196078431372549	query_1	['GO:0007399', 'GO:0030154']	['REST', 'CDKN2B', 'AKT1', 'CDK5', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'FOXG1', 'SIN3A', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'CDK1', 'SKI', 'SNW1', 'CDKN2C', 'RARA', 'TP53', 'HDAC2', 'KDM1A', 'THRB', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1']
268	GO:BP	GO:0031667	response to nutrient levels	8.41118294329232e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]"	469	100	17	15719	0.17	0.0362473347547974	query_1	['GO:0009991']	['RXRA', 'CDKN2B', 'AKT1', 'PPARG', 'FOXO3', 'NR1H2', 'CDKN2D', 'RXRB', 'CDKN1A', 'SNW1', 'SP1', 'FOXO1', 'RARA', 'TBL1XR1', 'TP53', 'NCOA1', 'CCND1']
269	GO:BP	GO:0035601	protein deacylation	1.0049118689870185e-07	True	"""The removal of an acyl group, any group or radical of the form RCO- where R is an organic group, from a protein amino acid."" [GOC:se, PMID:12080046]"	126	100	10	15719	0.1	0.0793650793650793	query_1	['GO:0036211', 'GO:0098732']	['HDAC1', 'TBL1X', 'SIN3A', 'EP300', 'HDAC3', 'RCOR1', 'KAT2B', 'TBL1XR1', 'TP53', 'HDAC2']
270	GO:BP	GO:0030098	lymphocyte differentiation	1.1035414526865685e-07	True	"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]"	417	100	16	15719	0.16	0.0383693045563549	query_1	['GO:0046649', 'GO:1903131']	['CBFB', 'FOXO3', 'CTNNB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'GPS2', 'SMARCC2', 'CDKN2A', 'RARA', 'TP53', 'SMARCC1', 'CDK6']
271	GO:BP	GO:1901988	negative regulation of cell cycle phase transition	1.1189147631907677e-07	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	255	100	13	15719	0.13	0.0509803921568627	query_1	['GO:0010948', 'GO:0044770', 'GO:1901987']	['CDKN2B', 'CCNB1', 'RBL1', 'RBL2', 'RB1', 'CDKN2D', 'CDKN1A', 'E2F1', 'CDK1', 'CDK2', 'CDKN1B', 'TP53', 'CCND1']
272	GO:BP	GO:0098732	macromolecule deacylation	1.24883253121717e-07	True	"""The removal of an acyl group, any group or radical of the form RCO- where R is an organic group, from a macromolecule."" [GOC:dos]"	129	100	10	15719	0.1	0.0775193798449612	query_1	['GO:0043412']	['HDAC1', 'TBL1X', 'SIN3A', 'EP300', 'HDAC3', 'RCOR1', 'KAT2B', 'TBL1XR1', 'TP53', 'HDAC2']
93	REAC	REAC:R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	1.3153201901612428e-07	True	NOTCH4 Intracellular Domain Regulates Transcription	19	99	6	10022	0.0606060606060606	0.3157894736842105	query_1	['REAC:R-HSA-9013694']	['CREBBP', 'EP300', 'RBPJ', 'SNW1', 'KAT2B', 'SMAD3']
273	GO:BP	GO:0016575	histone deacetylation	1.3385392676382085e-07	True	"""The modification of histones by removal of acetyl groups."" [GOC:ai]"	96	100	9	15719	0.09	0.09375	query_1	['GO:0006476', 'GO:0016570']	['HDAC1', 'TBL1X', 'SIN3A', 'HDAC3', 'RCOR1', 'KAT2B', 'TBL1XR1', 'TP53', 'HDAC2']
94	REAC	REAC:R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	1.3597681905339477e-07	True	STAT3 nuclear events downstream of ALK signaling	10	99	5	10022	0.0505050505050505	0.5	query_1	['REAC:R-HSA-201556']	['HDAC1', 'SIN3A', 'EP300', 'HDAC3', 'HDAC2']
95	REAC	REAC:R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	1.3597681905339477e-07	True	Regulation of FOXO transcriptional activity by acetylation	10	99	5	10022	0.0505050505050505	0.5	query_1	['REAC:R-HSA-9614085']	['CREBBP', 'FOXO3', 'EP300', 'KAT2B', 'FOXO1']
274	GO:BP	GO:0030097	hemopoiesis	1.3682823334747513e-07	True	"""The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."" [GOC:dgh, ISBN:0198506732]"	914	100	23	15719	0.23	0.0251641137855579	query_1	['GO:0048468']	['REST', 'CDKN2B', 'CBFB', 'PPARG', 'FOXO3', 'CTNNB1', 'RB1', 'SMARCA4', 'SMARCA2', 'SIN3A', 'SMARCB1', 'RUNX1', 'EP300', 'RBPJ', 'GPS2', 'SMARCC2', 'RCOR1', 'CDKN2A', 'RARA', 'TP53', 'SMARCC1', 'CDK6', 'HIPK2']
275	GO:BP	GO:0007399	nervous system development	1.413837912326818e-07	True	"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]"	2331	100	38	15719	0.38	0.0163020163020163	query_1	['GO:0048731']	['REST', 'CDKN2B', 'AKT1', 'CDK5', 'PPARG', 'CTNNB1', 'RB1', 'HDAC1', 'SMARCA4', 'SMARCA2', 'FOXG1', 'NCOR2', 'SIN3A', 'SMARCB1', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'MNAT1', 'CDK1', 'SMARCC2', 'SKI', 'SNW1', 'CDKN2C', 'RARA', 'TP53', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1']
276	GO:BP	GO:0043433	negative regulation of DNA-binding transcription factor activity	1.4378703465403824e-07	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription."" [GOC:jl]"	170	100	11	15719	0.11	0.0647058823529411	query_1	['GO:0044092', 'GO:0051090']	['TFDP1', 'RB1', 'E2F2', 'SUMO1', 'E2F1', 'HDAC3', 'CDKN2A', 'ESR1', 'FOXH1', 'HDAC2', 'KDM1A']
277	GO:BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	1.4466231923585097e-07	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle, PMID:17329565]"	97	100	9	15719	0.09	0.0927835051546391	query_1	['GO:0000086', 'GO:1901990', 'GO:1902749']	['CCNB1', 'SIN3A', 'CDKN1A', 'MECP2', 'CDK1', 'CDKN2A', 'CDK2', 'CDK4', 'CCND1']
29	GO:CC	GO:0071564	npBAF complex	1.5622313163202666e-07	True	"""A SWI/SNF-type complex that is found in neural stem or progenitor cells, and in human contains actin and proteins encoded by the ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A genes. The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells."" [GOC:mah, GOC:ss, PMID:17640523]"	14	101	5	16420	0.0495049504950495	0.3571428571428571	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
279	GO:BP	GO:0048732	gland development	1.7589131079049457e-07	True	"""The process whose specific outcome is the progression of a gland over time, from its formation to the mature structure. A gland is an organ specialised for secretion."" [GOC:jid]"	432	100	16	15719	0.16	0.037037037037037	query_1	['GO:0048513']	['CDKN2B', 'AKT1', 'WDR77', 'CTNNB1', 'NCOR2', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'RBPJ', 'PRMT5', 'ESR1', 'RARA', 'CDKN1B', 'SMAD3', 'CCND1']
278	GO:BP	GO:0016571	histone methylation	1.7589131079049457e-07	True	"""The modification of histones by addition of methyl groups."" [GOC:ai]"	134	100	10	15719	0.1	0.0746268656716417	query_1	['GO:0006479', 'GO:0016570']	['WDR77', 'COPRS', 'CTNNB1', 'SMARCB1', 'SMAD4', 'MECP2', 'PRMT5', 'SNW1', 'CLNS1A', 'KDM1A']
280	GO:BP	GO:0071417	cellular response to organonitrogen compound	1.807664794527282e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	629	100	19	15719	0.19	0.0302066772655007	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['AKT1', 'CDK5', 'PPARG', 'NCOA2', 'CTNNB1', 'RB1', 'SIN3A', 'CCNA2', 'PRMT5', 'SP1', 'KAT2B', 'FOXO1', 'CCND3', 'CDK4', 'TP53', 'HDAC2', 'KDM1A', 'SMARCC1', 'NCOA1']
96	REAC	REAC:R-HSA-2559580	Oxidative Stress Induced Senescence	1.8421774803838528e-07	True	Oxidative Stress Induced Senescence	122	99	11	10022	0.1111111111111111	0.0901639344262295	query_1	['REAC:R-HSA-2559583']	['CDKN2B', 'TFDP1', 'CDKN2D', 'E2F2', 'E2F1', 'CDKN2C', 'CDKN2A', 'CDK4', 'TP53', 'TFDP2', 'CDK6']
281	GO:BP	GO:0023056	positive regulation of signaling	1.9316504988627605e-07	True	"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	1641	100	31	15719	0.31	0.0188909201706276	query_1	['GO:0023051', 'GO:0023052', 'GO:0048518']	['UBE2I', 'RXRA', 'CDKN2B', 'CREBBP', 'PPARG', 'CTNNB1', 'SMARCA4', 'TBL1X', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SKI', 'SNW1', 'CDKN2A', 'PDE8A', 'SKP2', 'TBL1XR1', 'TP53', 'SMAD3', 'THRB', 'SKIL', 'HIPK2']
282	GO:BP	GO:0031401	positive regulation of protein modification process	1.954227421256588e-07	True	"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	933	100	23	15719	0.23	0.0246516613076098	query_1	['GO:0031399', 'GO:0036211', 'GO:0051247']	['AKT1', 'CDK5', 'PPARG', 'CTNNB1', 'CDKN1A', 'SMARCB1', 'SKP1', 'SMAD4', 'MECP2', 'CCND2', 'HDAC3', 'MNAT1', 'SNW1', 'CDKN2A', 'PDE8A', 'CCND3', 'SKP2', 'CDKN1B', 'TP53', 'HDAC2', 'KDM1A', 'HIPK2', 'CCND1']
283	GO:BP	GO:0010647	positive regulation of cell communication	1.9739345114230955e-07	True	"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	1643	100	31	15719	0.31	0.0188679245283018	query_1	['GO:0007154', 'GO:0010646', 'GO:0048522']	['UBE2I', 'RXRA', 'CDKN2B', 'CREBBP', 'PPARG', 'CTNNB1', 'SMARCA4', 'TBL1X', 'RXRB', 'NR1H3', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'EP300', 'RBPJ', 'MECP2', 'PRMT5', 'GPS2', 'HDAC3', 'SKI', 'SNW1', 'CDKN2A', 'PDE8A', 'SKP2', 'TBL1XR1', 'TP53', 'SMAD3', 'THRB', 'SKIL', 'HIPK2']
284	GO:BP	GO:0009991	response to extracellular stimulus	1.9895823919980916e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:go_curators]"	499	100	17	15719	0.17	0.034068136272545	query_1	['GO:0009605']	['RXRA', 'CDKN2B', 'AKT1', 'PPARG', 'FOXO3', 'NR1H2', 'CDKN2D', 'RXRB', 'CDKN1A', 'SNW1', 'SP1', 'FOXO1', 'RARA', 'TBL1XR1', 'TP53', 'NCOA1', 'CCND1']
285	GO:BP	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	1.997510342400387e-07	True	"""Any signalling pathway that activates or increases the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:dph, GOC:mtg_cell_cycle, GOC:tb]"	27	100	6	15719	0.06	0.2222222222222222	query_1	['GO:0000086', 'GO:0010389', 'GO:1901992', 'GO:1902751']	['CCNB1', 'SIN3A', 'MECP2', 'CDK1', 'CDK4', 'CCND1']
286	GO:BP	GO:1901991	negative regulation of mitotic cell cycle phase transition	2.3752298858381265e-07	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	179	100	11	15719	0.11	0.0614525139664804	query_1	['GO:0044772', 'GO:0045930', 'GO:1901988', 'GO:1901990']	['CDKN2B', 'CCNB1', 'RBL1', 'RBL2', 'RB1', 'CDKN1A', 'CDK1', 'CDK2', 'CDKN1B', 'TP53', 'CCND1']
30	GO:CC	GO:0016514	SWI/SNF complex	2.4320702950394505e-07	True	"""A SWI/SNF-type complex that contains 8 to 14 proteins, including both conserved (core) and nonconserved components; contains the ATPase product of the yeast SNF2 or mammalian SMARCA4/BAF190A/BRG1 gene, or an ortholog thereof."" [GOC:bhm, PMID:12672490]"	30	101	6	16420	0.0594059405940594	0.2	query_1	['GO:0070603']	['RB1', 'SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
287	GO:BP	GO:0045930	negative regulation of mitotic cell cycle	2.634053971394533e-07	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	226	100	12	15719	0.12	0.0530973451327433	query_1	['GO:0000278', 'GO:0007346', 'GO:0045786']	['CDKN2B', 'CCNB1', 'RBL1', 'RBL2', 'CTNNB1', 'RB1', 'CDKN1A', 'CDK1', 'CDK2', 'CDKN1B', 'TP53', 'CCND1']
97	REAC	REAC:R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	2.707742077054449e-07	True	Transcriptional activation of mitochondrial biogenesis	53	99	8	10022	0.0808080808080808	0.1509433962264151	query_1	['REAC:R-HSA-1592230']	['RXRA', 'CREBBP', 'NCOA2', 'TBL1X', 'NCOR1', 'HDAC3', 'TBL1XR1', 'NCOA1']
101	REAC	REAC:R-HSA-9031528	NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose	2.763748378765858e-07	True	NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose	5	99	4	10022	0.0404040404040404	0.8	query_1	['REAC:R-HSA-9024446']	['RXRA', 'NR1H2', 'RXRB', 'NR1H3']
98	REAC	REAC:R-HSA-9632974	NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 	2.763748378765858e-07	True	NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 	5	99	4	10022	0.0404040404040404	0.8	query_1	['REAC:R-HSA-9024446']	['NRIP1', 'RXRA', 'RXRB', 'NR1H3']
99	REAC	REAC:R-HSA-111448	Activation of NOXA and translocation to mitochondria	2.763748378765858e-07	True	Activation of NOXA and translocation to mitochondria	5	99	4	10022	0.0404040404040404	0.8	query_1	['REAC:R-HSA-114452']	['TFDP1', 'E2F1', 'TP53', 'TFDP2']
100	REAC	REAC:R-HSA-9031525	NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 	2.763748378765858e-07	True	NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 	5	99	4	10022	0.0404040404040404	0.8	query_1	['REAC:R-HSA-9024446']	['RXRA', 'NR1H2', 'RXRB', 'NR1H3']
288	GO:BP	GO:0001666	response to hypoxia	2.947591554141274e-07	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]"	278	100	13	15719	0.13	0.0467625899280575	query_1	['GO:0006950', 'GO:0036293']	['REST', 'CREBBP', 'PPARG', 'CCNA2', 'SMAD4', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'CDKN1B', 'TP53', 'SMAD3', 'HIPK2']
289	GO:BP	GO:0043985	histone H4-R3 methylation	2.981634665007236e-07	True	"""The modification of histone H4 by addition of a methyl group to arginine at position 3 of the histone."" [GOC:mah]"	6	100	4	15719	0.04	0.6666666666666666	query_1	['GO:0034969']	['WDR77', 'COPRS', 'PRMT5', 'CLNS1A']
32	GO:CC	GO:0016586	RSC-type complex	3.068536475390261e-07	True	"""A SWI/SNF-type complex that contains a bromodomain containing-protein, such as yeast Rsc1 or Rsc4 or mammalian PB1/BAF180. The RSC complex is generally recruited to RNA polymerase III promoters and is specifically recruited to RNA polymerase II promoters by transcriptional activators and repressors; it is also involved in non-homologous end joining."" [GOC:bhm, PMID:11937489, PMID:12672490, PMID:15870268, PMID:19355820, PMID:8980231]"	16	101	5	16420	0.0495049504950495	0.3125	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
31	GO:CC	GO:0071565	nBAF complex	3.068536475390261e-07	True	"""A SWI/SNF-type complex that is found in post-mitotic neurons, and in human contains actin and proteins encoded by the ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B genes. The nBAF complex along with CREST plays a role regulating the activity of genes essential for dendrite growth."" [GOC:mah, GOC:ss, PMID:17640523]"	16	101	5	16420	0.0495049504950495	0.3125	query_1	['GO:0070603']	['SMARCA4', 'SMARCA2', 'SMARCB1', 'SMARCC2', 'SMARCC1']
102	REAC	REAC:R-HSA-5633007	Regulation of TP53 Activity	3.1117781261408773e-07	True	Regulation of TP53 Activity	160	99	12	10022	0.1212121212121212	0.075	query_1	['REAC:R-HSA-3700989']	['AKT1', 'CDK5', 'HDAC1', 'CCNA2', 'EP300', 'PRMT5', 'CDK1', 'CDKN2A', 'CDK2', 'TP53', 'HDAC2', 'HIPK2']
103	REAC	REAC:R-HSA-113510	E2F mediated regulation of DNA replication	3.1615786411494213e-07	True	E2F mediated regulation of DNA replication	22	99	6	10022	0.0606060606060606	0.2727272727272727	query_1	['REAC:R-HSA-69206']	['CCNB1', 'TFDP1', 'RB1', 'E2F1', 'CDK1', 'TFDP2']
104	REAC	REAC:R-HSA-1181150	Signaling by NODAL	3.1615786411494213e-07	True	Signaling by NODAL	22	99	6	10022	0.0606060606060606	0.2727272727272727	query_1	['REAC:R-HSA-1266738']	['FOXO3', 'SMAD2', 'SMAD4', 'DRAP1', 'FOXH1', 'SMAD3']
290	GO:BP	GO:0001701	in utero embryonic development	3.170161033718102e-07	True	"""The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."" [GOC:go_curators, GOC:mtg_sensu]"	391	100	15	15719	0.15	0.0383631713554987	query_1	['GO:0043009']	['AKT1', 'CCNB1', 'CTNNB1', 'SIN3A', 'AR', 'SMAD2', 'SMARCB1', 'SMAD4', 'RBPJ', 'HDAC3', 'TBL1XR1', 'TP53', 'SMAD3', 'SKIL', 'NCOA1']
291	GO:BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3.268093807336381e-07	True	"""Any process that increases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]"	107	100	9	15719	0.09	0.0841121495327102	query_1	['GO:0007178', 'GO:0009967', 'GO:0090092']	['CDKN2B', 'CREBBP', 'PPARG', 'SMAD2', 'SMAD4', 'EP300', 'RBPJ', 'SNW1', 'HIPK2']
292	GO:BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	3.268093807336381e-07	True	"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered."" [GOC:go_curators, GOC:mtg_apoptosis]"	107	100	9	15719	0.09	0.0841121495327102	query_1	['GO:0006974', 'GO:0097193']	['CDKN2D', 'CDKN1A', 'EP300', 'E2F1', 'SNW1', 'TP53', 'KDM1A', 'SKIL', 'HIPK2']
293	GO:BP	GO:0010629	negative regulation of gene expression	3.322741565519562e-07	True	"""Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]"	962	100	23	15719	0.23	0.0239085239085239	query_1	['GO:0010467', 'GO:0010468', 'GO:0010605']	['REST', 'AKT1', 'PPARG', 'RBL1', 'RBL2', 'NR1H2', 'CTNNB1', 'RB1', 'HDAC1', 'SIN3A', 'CDKN1A', 'SMAD2', 'MECP2', 'E2F1', 'CDK1', 'RCOR1', 'CDK2', 'KAT2B', 'ESR1', 'RARA', 'TP53', 'SMAD3', 'KDM1A']
294	GO:BP	GO:0060766	negative regulation of androgen receptor signaling pathway	3.441757731511206e-07	True	"""Any process that decreases the rate, frequency, or extent of the androgen receptor signaling pathway."" [GOC:dph]"	15	100	5	15719	0.05	0.3333333333333333	query_1	['GO:0030521', 'GO:0033144', 'GO:0060765']	['HDAC1', 'SMARCA4', 'NCOR2', 'NCOR1', 'FOXH1']
105	REAC	REAC:R-HSA-453274	Mitotic G2-G2/M phases	3.486417350467681e-07	True	Mitotic G2-G2/M phases	196	99	13	10022	0.1313131313131313	0.0663265306122449	query_1	['REAC:R-HSA-69278']	['CCNB1', 'CDK7', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'EP300', 'E2F1', 'MNAT1', 'CDK1', 'CDK2', 'CUL1', 'TP53']
