Branchio-oculo-facial syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
10	GO:CC	GO:0031981	nuclear lumen	1.3448789331453101e-44	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	101	93	17376	0.9207920792079208	0.0214483394833948	query_1	['GO:0005634', 'GO:0070013']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
11	GO:BP	GO:1902679	negative regulation of RNA biosynthetic process	1.3636002267929312e-44	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1263	101	64	17376	0.6336633663366337	0.0506730007917656	query_1	['GO:0010558', 'GO:0031327', 'GO:0032774', 'GO:0051253', 'GO:2001141']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
12	REAC	REAC:R-HSA-69206	G1/S Transition	1.597649860448129e-42	True	G1/S Transition	130	101	32	17376	0.3168316831683168	0.2461538461538461	query_1	['REAC:R-HSA-453279']	['AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'E2F5', 'CDKN1A', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'E2F1', 'MNAT1', 'CDK1', 'CDK2', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CCND1']
13	GO:BP	GO:0051253	negative regulation of RNA metabolic process	1.7395949159162226e-42	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1371	101	64	17376	0.6336633663366337	0.0466812545587162	query_1	['GO:0010605', 'GO:0016070', 'GO:0045934', 'GO:0051252']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
14	GO:BP	GO:0010558	negative regulation of macromolecule biosynthetic process	4.788849856595849e-42	True	"""Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	1470	101	65	17376	0.6435643564356436	0.0442176870748299	query_1	['GO:0009059', 'GO:0009890', 'GO:0010556', 'GO:0010605']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
15	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	4.788849856595849e-42	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	101	83	17376	0.8217821782178217	0.0264499681325685	query_1	['GO:0097659', 'GO:2001141']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
16	GO:BP	GO:0006355	regulation of DNA-templated transcription	4.788849856595849e-42	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	101	83	17376	0.8217821782178217	0.0264668367346938	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
17	GO:BP	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	5.368219614624453e-42	True	"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]"	1481	101	65	17376	0.6435643564356436	0.0438892640108035	query_1	['GO:0006139', 'GO:0019219', 'GO:0031324', 'GO:0051172']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
18	GO:BP	GO:2001141	regulation of RNA biosynthetic process	6.358097105277631e-42	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	101	83	17376	0.8217821782178217	0.0262741373852484	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
19	GO:BP	GO:0031327	negative regulation of cellular biosynthetic process	1.287833064127148e-41	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1507	101	65	17376	0.6435643564356436	0.0431320504313205	query_1	['GO:0009890', 'GO:0031324', 'GO:0031326', 'GO:0044249']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'CDKN1A', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
20	GO:BP	GO:0006351	DNA-templated transcription	5.504041668077335e-41	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	101	83	17376	0.8217821782178217	0.0254914004914004	query_1	['GO:0097659']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'SERTAD1', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'MAX', 'CDK7', 'RBL1', 'FOXO3', 'KCTD1', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'E2F5', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDK4', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
