Lenz-Majewski hyperostotic dwarfism	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
4	GO:BP	GO:0071702	organic substance transport	4.493324984524552e-15	True	"""The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."" [GOC:mah]"	2638	96	53	15719	0.5520833333333334	0.0200909780136467	query_1	['GO:0006810']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'SLC25A52', 'RAB7A', 'RUFY1', 'OPTN', 'ABCD3', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'OSBPL1A', 'RAB8B', 'ZFP36', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'SLC6A8', 'STX1A', 'RAB5C', 'ABCD1', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'SLC27A2', 'PEX19', 'GDI2', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
5	GO:BP	GO:0051668	localization within membrane	5.498756767161842e-15	True	"""Any process in which a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a membrane."" [GOC:ai]"	662	96	29	15719	0.3020833333333333	0.0438066465256797	query_1	['GO:0051641']	['RAB34', 'RAB14', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RABGEF1', 'RAB3IP', 'STX1A', 'CHM', 'GGA1', 'RAB13', 'RHOG', 'PEX3', 'GGA2', 'GGA3', 'GDI1', 'SNAP25', 'PEX19', 'RAB10', 'STXBP1', 'RAB35', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A']
5	REAC	REAC:R-HSA-199991	Membrane Trafficking	6.1141458225410576e-15	True	Membrane Trafficking	617	86	31	10022	0.3604651162790697	0.0502431118314424	query_1	['REAC:R-HSA-5653656']	['RAB14', 'RAB1B', 'RAB7A', 'OPTN', 'SYT1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB35', 'RAB3A', 'RAB6A', 'RAB3IL1']
6	GO:BP	GO:0098876	vesicle-mediated transport to the plasma membrane	6.443416282312378e-15	True	"""The directed movement of substances to the plasma membrane in transport vesicles that fuse with the plasma membrane by exocytosis."" [GOC:dos]"	147	96	17	15719	0.1770833333333333	0.1156462585034013	query_1	['GO:0016192', 'GO:0051668']	['RAB34', 'RAB14', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB3IP', 'GGA1', 'RAB13', 'GGA2', 'GGA3', 'SNAP25', 'RAB10', 'RAB35']
6	REAC	REAC:R-HSA-8943723	Regulation of PTEN mRNA translation	7.428572576691376e-15	True	Regulation of PTEN mRNA translation	9	86	8	10022	0.0930232558139534	0.8888888888888888	query_1	['REAC:R-HSA-6807070']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
7	GO:BP	GO:0072657	protein localization to membrane	1.2106523636740092e-14	True	"""A process in which a protein is transported to, or maintained in, a specific location in a membrane."" [GOC:mah]"	575	96	27	15719	0.28125	0.0469565217391304	query_1	['GO:0008104', 'GO:0051668']	['RAB34', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RABGEF1', 'RAB3IP', 'STX1A', 'CHM', 'GGA1', 'RAB13', 'RHOG', 'PEX3', 'GGA2', 'GGA3', 'GDI1', 'SNAP25', 'PEX19', 'RAB10', 'STXBP1', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A']
7	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	3.1852367288788574e-14	True	Vesicle-mediated transport	661	86	31	10022	0.3604651162790697	0.0468986384266263	query_1	['REAC:0000000']	['RAB14', 'RAB1B', 'RAB7A', 'OPTN', 'SYT1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB35', 'RAB3A', 'RAB6A', 'RAB3IL1']
2	GO:CC	GO:0097708	intracellular vesicle	5.0725145788054303e-14	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2395	95	47	16420	0.4947368421052631	0.0196242171189979	query_1	['GO:0031982', 'GO:0043231']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'HTT', 'OSBPL1A', 'RAB8B', 'BACE1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RHOG', 'RILP', 'RAB1A', 'GGA2', 'GGA3', 'SLC39A4', 'YWHAE', 'PPFIA3', 'SNAP25', 'SLC27A2', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RHOH', 'RAB3A', 'PTP4A2', 'ARHGDIB', 'RAB6A', 'RAB3IL1']
3	GO:CC	GO:0030659	cytoplasmic vesicle membrane	5.0725145788054303e-14	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1158	95	34	16420	0.3578947368421052	0.0293609671848013	query_1	['GO:0012506', 'GO:0031410']	['RAB34', 'RAB14', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'HTT', 'RAB8B', 'BACE1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RHOG', 'RILP', 'RAB1A', 'GGA2', 'GGA3', 'SLC39A4', 'SNAP25', 'SLC27A2', 'RAB10', 'RAB35', 'RAB23', 'RAB3A', 'RAB6A']
1	GO:CC	GO:0031410	cytoplasmic vesicle	5.0725145788054303e-14	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2393	95	47	16420	0.4947368421052631	0.019640618470539	query_1	['GO:0005737', 'GO:0097708']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'HTT', 'OSBPL1A', 'RAB8B', 'BACE1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RHOG', 'RILP', 'RAB1A', 'GGA2', 'GGA3', 'SLC39A4', 'YWHAE', 'PPFIA3', 'SNAP25', 'SLC27A2', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RHOH', 'RAB3A', 'PTP4A2', 'ARHGDIB', 'RAB6A', 'RAB3IL1']
4	GO:CC	GO:0012506	vesicle membrane	5.0725145788054303e-14	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1176	95	34	16420	0.3578947368421052	0.0289115646258503	query_1	['GO:0031090', 'GO:0031982']	['RAB34', 'RAB14', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'SYT1', 'RAB8A', 'HTT', 'RAB8B', 'BACE1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RHOG', 'RILP', 'RAB1A', 'GGA2', 'GGA3', 'SLC39A4', 'SNAP25', 'SLC27A2', 'RAB10', 'RAB35', 'RAB23', 'RAB3A', 'RAB6A']
8	GO:BP	GO:0033036	macromolecule localization	6.843521513832929e-14	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	2841	96	53	15719	0.5520833333333334	0.0186554030271031	query_1	['GO:0051179']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'ABCD3', 'MICALL1', 'RAB8A', 'ABCD2', 'OSBPL1A', 'RAB8B', 'ZFP36', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'ABCD1', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'SLC27A2', 'PEX19', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
8	REAC	REAC:R-HSA-426496	Post-transcriptional silencing by small RNAs	8.195201015577813e-14	True	Post-transcriptional silencing by small RNAs	7	86	7	10022	0.0813953488372093	1.0	query_1	['REAC:R-HSA-211000']	['AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
9	GO:BP	GO:0051641	cellular localization	1.5762013192517768e-13	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3251	96	56	15719	0.5833333333333334	0.0172254690864349	query_1	['GO:0009987', 'GO:0051179']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'SLC25A52', 'RAB7A', 'RUFY1', 'OPTN', 'ABCD3', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'HTT', 'TMEM102', 'RAB8B', 'ZFP36', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'ABCD1', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'PPFIA3', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
5	GO:CC	GO:1902555	endoribonuclease complex	1.6417673227388642e-13	True	"""A protein complex which is capable of endoribonuclease activity."" [GOC:bhm, GOC:TermGenie, PMID:18191223]"	34	95	10	16420	0.1052631578947368	0.2941176470588235	query_1	['GO:1905348']	['PRKRA', 'AGO4', 'ZFP36', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'HSD17B10', 'TRMT10C', 'AGO1']
10	GO:BP	GO:0046907	intracellular transport	3.1526875211807337e-13	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	96	39	15719	0.40625	0.0251126851255634	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['RAB14', 'RAB1B', 'SLC25A52', 'RAB7A', 'ABCD3', 'MICALL1', 'RAB8A', 'ABCD2', 'HTT', 'TMEM102', 'RAB8B', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'ABCD1', 'CHM', 'RAB5A', 'GGA1', 'RAB13', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'YWHAE', 'GDI1', 'PEX19', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A']
11	GO:BP	GO:0070727	cellular macromolecule localization	3.1526875211807337e-13	True	"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	2409	96	48	15719	0.5	0.0199252801992528	query_1	['GO:0033036', 'GO:0051641']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'ZFP36', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
12	GO:BP	GO:0090150	establishment of protein localization to membrane	3.16130205229254e-13	True	"""The directed movement of a protein to a specific location in a membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	265	96	19	15719	0.1979166666666666	0.0716981132075471	query_1	['GO:0045184', 'GO:0072657']	['RAB34', 'RAB7A', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'VAMP2', 'RABGEF1', 'RAB3IP', 'CHM', 'GGA1', 'PEX3', 'GGA2', 'GGA3', 'GDI1', 'SNAP25', 'PEX19', 'RAB10', 'PEX16']
6	GO:CC	GO:0070382	exocytic vesicle	5.766050417186194e-13	True	"""A transport vesicle that mediates transport from an intracellular compartment to the plasma membrane, and fuses with the plasma membrane to release various cargo molecules, such as proteins or hormones, by exocytosis."" [GOC:kad, GOC:mah]"	226	95	17	16420	0.1789473684210526	0.0752212389380531	query_1	['GO:0030133', 'GO:0099503']	['RAB7A', 'SYT1', 'RAB8A', 'RAB8B', 'BACE1', 'VAMP2', 'RAB5B', 'RAB3IP', 'STX1A', 'RAB5A', 'RAB13', 'SNAP25', 'RAB10', 'RAB35', 'RAB3A', 'RAB6A', 'RAB3IL1']
10	GO:CC	GO:0010008	endosome membrane	6.414804152248419e-13	True	"""The lipid bilayer surrounding an endosome."" [GOC:mah]"	522	95	23	16420	0.2421052631578947	0.0440613026819923	query_1	['GO:0005768', 'GO:0030659', 'GO:0098588']	['RAB14', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'BACE1', 'RABEP1', 'RAB5B', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'GGA2', 'GGA3', 'SLC39A4', 'RAB10', 'RAB35', 'RAB23']
9	GO:CC	GO:0031332	RNAi effector complex	6.414804152248419e-13	True	"""Any protein complex that mediates the effects of small interfering RNAs on gene expression. Most known examples contain one or more members of the Argonaute family of proteins."" [GOC:mah, PMID:14704433]"	17	95	8	16420	0.0842105263157894	0.4705882352941176	query_1	['GO:1990904']	['PRKRA', 'AGO4', 'AGO2', 'TNRC6A', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
8	GO:CC	GO:0016442	RISC complex	6.414804152248419e-13	True	"""A ribonucleoprotein complex that contains members of the Argonaute family of proteins, small interfering RNAs (siRNAs) or microRNAs (miRNAs), and miRNA or siRNA-complementary mRNAs, in addition to a number of accessory factors. The RISC complex is involved in posttranscriptional repression of gene expression through downregulation of translation or induction of mRNA degradation."" [PMID:10749213, PMID:15145345]"	17	95	8	16420	0.0842105263157894	0.4705882352941176	query_1	['GO:0031332']	['PRKRA', 'AGO4', 'AGO2', 'TNRC6A', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
7	GO:CC	GO:1905348	endonuclease complex	6.414804152248419e-13	True	"""A protein complex which is capable of endonuclease activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:18413719]"	40	95	10	16420	0.1052631578947368	0.25	query_1	['GO:0140535', 'GO:1902494']	['PRKRA', 'AGO4', 'ZFP36', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'HSD17B10', 'TRMT10C', 'AGO1']
13	GO:BP	GO:0008104	protein localization	1.1873221705292381e-12	True	"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]"	2399	96	47	15719	0.4895833333333333	0.019591496456857	query_1	['GO:0070727']	['APBA3', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'MICALL1', 'RAB8A', 'RAB8B', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'CHM', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'ARHGDIA', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'KTN1', 'YWHAE', 'GDI1', 'SNAP25', 'PEX19', 'GDI2', 'ARHGDIG', 'RAB10', 'TBC1D17', 'STXBP1', 'RAB35', 'RAB23', 'PIGW', 'RAB3A', 'PEX16', 'RAB6A', 'RAB3IL1']
11	GO:CC	GO:0098588	bounding membrane of organelle	1.2837456491018424e-12	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2014	95	41	16420	0.431578947368421	0.0203574975173783	query_1	['GO:0031090']	['RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RUFY1', 'OPTN', 'ABCD3', 'MICALL1', 'SYT1', 'RAB8A', 'ABCD2', 'RAB8B', 'BACE1', 'RABEP1', 'VAMP2', 'RAB5B', 'RABGEF1', 'STX1A', 'RAB5C', 'ABCD1', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RHOG', 'RILP', 'PEX3', 'RAB1A', 'GGA2', 'NAT8', 'GGA3', 'SLC39A4', 'SNAP25', 'SLC27A2', 'PEX19', 'RAB10', 'RAB35', 'RAB23', 'RAB3A', 'PEX16', 'RAB6A']
14	GO:BP	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	1.2995091565126762e-12	True	"""An RNA interference pathway in which microRNAs (miRNAs) block the translation of target mRNAs into proteins. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA will typically mediate repression of translation if the miRNA imperfectly base-pairs with the 3' untranslated regions of target mRNAs."" [PMID:14744438, PMID:15196554]"	15	96	8	15719	0.0833333333333333	0.5333333333333333	query_1	['GO:0017148', 'GO:0035195']	['AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
15	GO:BP	GO:0022406	membrane docking	1.457744661188337e-12	True	"""The initial attachment of a membrane or protein to a target membrane. Docking requires only that the proteins come close enough to interact and adhere."" [GOC:isa_complete, PMID:27875684]"	92	96	13	15719	0.1354166666666666	0.1413043478260869	query_1	['GO:0009987']	['RAB7A', 'SYT1', 'RAB8A', 'RAB8B', 'RAB3IP', 'STX1A', 'RAB13', 'PPFIA3', 'SNAP25', 'RAB10', 'STXBP1', 'RAB3A', 'PEX16']
9	REAC	REAC:R-HSA-426486	Small interfering RNA (siRNA) biogenesis	2.618718234617208e-12	True	Small interfering RNA (siRNA) biogenesis	9	86	7	10022	0.0813953488372093	0.7777777777777778	query_1	['REAC:R-HSA-211000']	['PRKRA', 'AGO4', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
