Pseudoxanthoma elasticum	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
7	GO:CC	GO:0030136	clathrin-coated vesicle	1.4870707486620138e-48	True	"""A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."" [GOC:mah, PMID:11252894]"	206	102	40	16420	0.392156862745098	0.1941747572815534	query_1	['GO:0030135']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1A', 'SYT2', 'SYT1', 'PICALM', 'M6PR', 'CLTC', 'VAMP2', 'AP2M1', 'AP2B1', 'EPN1', 'STX6', 'SLC17A7', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'EGFR', 'DNM2', 'AP2A1', 'IGF2R', 'SYT9', 'AP1S3', 'HEATR5B', 'AP1S2', 'VAMP3', 'AP1M1', 'HSPA8', 'AFTPH', 'NUMB', 'STON2', 'VAMP8', 'FURIN', 'RAB3A']
8	GO:CC	GO:0030662	coated vesicle membrane	1.9587738508157808e-44	True	"""The lipid bilayer surrounding a coated vesicle."" [GOC:mah]"	193	102	37	16420	0.3627450980392157	0.1917098445595854	query_1	['GO:0030135', 'GO:0030659', 'GO:0098588']	['AP1G2', 'VAMP7', 'AP1B1', 'VTI1B', 'VTI1A', 'SYT2', 'SYT1', 'M6PR', 'CLTC', 'GOSR2', 'VAMP2', 'AP2M1', 'AP2B1', 'EPN1', 'SLC17A7', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'EGFR', 'AP2A1', 'IGF2R', 'SYT9', 'AP1S3', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'HSPA8', 'AFTPH', 'VAMP8', 'RAB3A', 'STX5']
1	GO:BP	GO:0051649	establishment of localization in cell	5.28938027014533e-44	True	"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	2072	102	77	15719	0.7549019607843137	0.0371621621621621	query_1	['GO:0051234', 'GO:0051641']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'AP2B1', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'REPS2', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'NUMB', 'STON2', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
2	GO:BP	GO:0016050	vesicle organization	5.28938027014533e-44	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle."" [GOC:mah]"	361	102	45	15719	0.4411764705882353	0.1246537396121883	query_1	['GO:0006996']	['VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'PICALM', 'STAM2', 'GOSR2', 'VAMP2', 'STX7', 'AP2M1', 'STX1A', 'STX6', 'AP1S1', 'STX10', 'STX3', 'STAM', 'AP1G1', 'VAMP4', 'EPS15', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'AP1S3', 'BET1', 'SNAP23', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
9	GO:CC	GO:0030665	clathrin-coated vesicle membrane	5.1804566405388446e-42	True	"""The lipid bilayer surrounding a clathrin-coated vesicle."" [GOC:mah]"	129	102	32	16420	0.3137254901960784	0.2480620155038759	query_1	['GO:0030136', 'GO:0030662']	['AP1G2', 'VAMP7', 'AP1B1', 'SYT2', 'SYT1', 'M6PR', 'CLTC', 'VAMP2', 'AP2M1', 'AP2B1', 'EPN1', 'SLC17A7', 'AP1S1', 'AP2S1', 'AP1M2', 'AP2A2', 'SYNRG', 'AP1G1', 'SLC18A3', 'VAMP4', 'EGFR', 'AP2A1', 'IGF2R', 'SYT9', 'AP1S3', 'AP1S2', 'VAMP3', 'AP1M1', 'HSPA8', 'AFTPH', 'VAMP8', 'RAB3A']
3	GO:BP	GO:0071705	nitrogen compound transport	7.472102745063759e-42	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1969	102	74	15719	0.7254901960784313	0.0375825292026409	query_1	['GO:0006810']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'AP2B1', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'EPS15', 'ABCC6', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
4	GO:BP	GO:0006906	vesicle fusion	9.378837838988484e-42	True	"""Fusion of the membrane of a transport vesicle with its target membrane."" [GOC:jid]"	118	102	32	15719	0.3137254901960784	0.2711864406779661	query_1	['GO:0016050', 'GO:0016192', 'GO:0090174']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
5	GO:BP	GO:0090174	organelle membrane fusion	1.4451352373119746e-41	True	"""The joining of two lipid bilayers to form a single organelle membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	120	102	32	15719	0.3137254901960784	0.2666666666666666	query_1	['GO:0048284', 'GO:0061025']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
6	GO:BP	GO:0015031	protein transport	1.0222652081210552e-40	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	102	67	15719	0.6568627450980392	0.0438768827766863	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'AP2B1', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP2S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'EPS15', 'STXBP5', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
10	GO:CC	GO:0031982	vesicle	2.665949774328331e-40	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	3794	102	88	16420	0.8627450980392157	0.0231945176594623	query_1	['GO:0043227']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'AGFG1', 'CHMP2A', 'SYT1', 'STAMBP', 'PLIN3', 'HGS', 'HSP90AB1', 'PICALM', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'AP1AR', 'STX1A', 'EPN1', 'STX6', 'VPS54', 'PACS1', 'CRYL1', 'SLC17A7', 'AP1S1', 'TOR1A', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'GRB2', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'LGI3', 'SNAP47', 'AFTPH', 'NUMB', 'STON2', 'A1BG', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'FURIN', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
7	GO:BP	GO:0045184	establishment of protein localization	4.405773995091627e-40	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1636	102	68	15719	0.6666666666666666	0.0415647921760391	query_1	['GO:0008104', 'GO:0051234']	['AP1G2', 'VAMP7', 'APBA3', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'AP2B1', 'AP1AR', 'STX1A', 'STX6', 'VPS54', 'AP1S1', 'AP2S1', 'AP1M2', 'ZFAND6', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'EPS15', 'STXBP5', 'EGFR', 'VPS50', 'DNM2', 'STX1B', 'AP2A1', 'STX4', 'GCC2', 'SNAP25', 'SYT9', 'AP1S3', 'BET1', 'HEATR5B', 'SNAP23', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'STXBP1', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'VAMP8', 'STX16', 'SNAP29', 'EIPR1', 'STX8', 'VPS51', 'NAPA', 'RAB3A', 'STX5']
8	GO:BP	GO:0061025	membrane fusion	1.806823262680373e-39	True	"""The membrane organization process that joins two lipid bilayers to form a single membrane."" [GOC:dph, GOC:tb]"	174	102	34	15719	0.3333333333333333	0.1954022988505747	query_1	['GO:0061024']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'NSF', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'NAPA', 'RAB3A', 'STX5']
11	GO:CC	GO:0098588	bounding membrane of organelle	9.707917430426176e-39	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2014	102	70	16420	0.6862745098039216	0.0347567030784508	query_1	['GO:0031090']	['AP1G2', 'VAMP7', 'AP1B1', 'GOSR1', 'VTI1B', 'VTI1A', 'SYT2', 'CHMP2A', 'SYT1', 'PLIN3', 'HGS', 'STAM2', 'M6PR', 'CLTC', 'GOSR2', 'VPS52', 'VAMP2', 'STX7', 'AP2M1', 'RABEPK', 'AP2B1', 'STX1A', 'EPN1', 'STX6', 'SLC17A7', 'AP1S1', 'AP2S1', 'AP1M2', 'STX10', 'STX3', 'AP2A2', 'SYNRG', 'STAM', 'AP1G1', 'SLC18A3', 'VAMP4', 'EPS15', 'STXBP5', 'EGFR', 'DNM2', 'AP2A1', 'STX4', 'SNAP25', 'IGF2R', 'SYT9', 'ENPP1', 'AP1S3', 'BET1', 'SNAP23', 'LITAF', 'VPS53', 'RAB9A', 'AP1S2', 'VAMP1', 'VAMP3', 'AP1M1', 'SEC22B', 'STX12', 'HSPA8', 'SNAP47', 'NSF', 'AFTPH', 'NUMB', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'FURIN', 'RAB3A', 'STX5']
9	GO:BP	GO:0048284	organelle fusion	3.250080994277979e-38	True	"""The creation of a single organelle from two or more organelles."" [GOC:jid]"	151	102	32	15719	0.3137254901960784	0.2119205298013245	query_1	['GO:0006996']	['VAMP7', 'GOSR1', 'VTI1B', 'VTI1A', 'CHMP2A', 'SYT1', 'GOSR2', 'VAMP2', 'STX7', 'STX1A', 'STX6', 'STX10', 'STX3', 'VAMP4', 'STX1B', 'STX4', 'SNAP25', 'SYT9', 'BET1', 'SNAP23', 'VAMP1', 'VAMP3', 'SEC22B', 'STX12', 'STXBP1', 'SNAP47', 'VAMP8', 'STX16', 'SNAP29', 'STX8', 'RAB3A', 'STX5']
