Vogt-Koyanagi-Harada disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
7	REAC	REAC:R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	1.8694298233110176e-41	True	Toll Like Receptor 9 (TLR9) Cascade	103	96	33	10022	0.34375	0.3203883495145631	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
8	REAC	REAC:R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	1.8268453059466182e-40	True	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	98	96	32	10022	0.3333333333333333	0.3265306122448979	query_1	['REAC:R-HSA-975155']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'TICAM2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'CD14', 'UBE2N']
10	REAC	REAC:R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	4.984747973303002e-37	True	Toll Like Receptor TLR6:TLR2 Cascade	109	96	31	10022	0.3229166666666667	0.2844036697247706	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
9	REAC	REAC:R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	4.984747973303002e-37	True	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	109	96	31	10022	0.3229166666666667	0.2844036697247706	query_1	['REAC:R-HSA-166016', 'REAC:R-HSA-168179', 'REAC:R-HSA-168188']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
11	REAC	REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	1.1054192311913174e-36	True	Toll Like Receptor 2 (TLR2) Cascade	112	96	31	10022	0.3229166666666667	0.2767857142857143	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
12	REAC	REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	1.1054192311913174e-36	True	Toll Like Receptor TLR1:TLR2 Cascade	112	96	31	10022	0.3229166666666667	0.2767857142857143	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'CD14', 'UBE2N']
13	REAC	REAC:R-HSA-9020702	Interleukin-1 signaling	3.1360393669365264e-35	True	Interleukin-1 signaling	110	96	30	10022	0.3125	0.2727272727272727	query_1	['REAC:R-HSA-446652']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
3	GO:BP	GO:1902531	regulation of intracellular signal transduction	7.392849270838923e-35	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1654	101	64	15719	0.6336633663366337	0.0386940749697702	query_1	['GO:0009966', 'GO:0035556']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3']
4	GO:BP	GO:0035556	intracellular signal transduction	2.1116715459498463e-34	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	101	74	15719	0.7326732673267327	0.0290766208251473	query_1	['GO:0007165']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3']
14	REAC	REAC:R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	3.3897343768554475e-34	True	Toll Like Receptor 5 (TLR5) Cascade	93	96	28	10022	0.2916666666666667	0.3010752688172043	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
15	REAC	REAC:R-HSA-975871	MyD88 cascade initiated on plasma membrane	3.3897343768554475e-34	True	MyD88 cascade initiated on plasma membrane	93	96	28	10022	0.2916666666666667	0.3010752688172043	query_1	['REAC:R-HSA-168142', 'REAC:R-HSA-168176']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
16	REAC	REAC:R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	3.3897343768554475e-34	True	Toll Like Receptor 10 (TLR10) Cascade	93	96	28	10022	0.2916666666666667	0.3010752688172043	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
17	REAC	REAC:R-HSA-73887	Death Receptor Signaling	1.120058134396628e-33	True	Death Receptor Signaling	138	96	31	10022	0.3229166666666667	0.2246376811594203	query_1	['REAC:R-HSA-162582']	['SHARPIN', 'MYD88', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TNFAIP3']
5	GO:BP	GO:0031349	positive regulation of defense response	2.841710113291017e-33	True	"""Any process that activates or increases the frequency, rate or extent of a defense response."" [GOC:mah]"	404	101	39	15719	0.3861386138613861	0.0965346534653465	query_1	['GO:0006952', 'GO:0031347', 'GO:0048584']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'OPTN', 'TRAF3', 'SARM1', 'IRAK3', 'TNFRSF1A', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TRADD', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3']
18	REAC	REAC:R-HSA-446652	Interleukin-1 family signaling	1.1364747461849142e-32	True	Interleukin-1 family signaling	148	96	31	10022	0.3229166666666667	0.2094594594594594	query_1	['REAC:R-HSA-449147']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
19	REAC	REAC:R-HSA-168256	Immune System	9.96595309632342e-32	True	Immune System	1957	96	73	10022	0.7604166666666666	0.0373019928461931	query_1	['REAC:0000000']	['CUL3', 'PTPN22', 'CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'SKP1', 'TNFSF14', 'IRAK1', 'MALT1', 'LTB', 'NFKB2', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TAB3', 'TICAM1', 'CUL1', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'UBE2N', 'TNFAIP3']
6	GO:BP	GO:0009607	response to biotic stimulus	3.0886815215726964e-31	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1463	101	58	15719	0.5742574257425742	0.0396445659603554	query_1	['GO:0050896']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'GSK3B', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
20	REAC	REAC:R-HSA-75893	TNF signaling	4.042630135179941e-31	True	TNF signaling	42	96	21	10022	0.21875	0.5	query_1	['REAC:R-HSA-73887']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2', 'CASP8', 'TAB3', 'TNFAIP3']
21	REAC	REAC:R-HSA-168249	Innate Immune System	4.042630135179941e-31	True	Innate Immune System	1022	96	57	10022	0.59375	0.0557729941291585	query_1	['REAC:R-HSA-168256']	['CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'IRAK1', 'MALT1', 'NFKB2', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'RELB', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TAB3', 'TICAM1', 'CUL1', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
7	GO:BP	GO:0051707	response to other organism	9.07196377614114e-31	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1426	101	57	15719	0.5643564356435643	0.0399719495091164	query_1	['GO:0043207', 'GO:0044419']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FKBP5', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
