Laron syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
7	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	1.3839157594505808e-22	True	Toll-like Receptor Cascades	162	92	25	10022	0.2717391304347826	0.1543209876543209	query_1	['REAC:R-HSA-168249']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
8	REAC	REAC:R-HSA-1280215	Cytokine Signaling in Immune system	8.003341322526455e-22	True	Cytokine Signaling in Immune system	705	92	41	10022	0.4456521739130434	0.0581560283687943	query_1	['REAC:R-HSA-168256']	['MAP3K8', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'RBX1', 'BTRC', 'TNF', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'SKP1', 'ELOC', 'SOCS2', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'CUL5', 'NFKBIA', 'CASP8', 'CUL1', 'PRL', 'STAT5B', 'PRLR']
9	REAC	REAC:R-HSA-5357905	Regulation of TNFR1 signaling	3.912191098852122e-21	True	Regulation of TNFR1 signaling	33	92	15	10022	0.1630434782608695	0.4545454545454545	query_1	['REAC:R-HSA-75893']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'IKBKG', 'BIRC3', 'TRAF2', 'BIRC2', 'CASP8']
12	REAC	REAC:R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	5.025392509006127e-21	True	Toll Like Receptor 10 (TLR10) Cascade	93	92	20	10022	0.217391304347826	0.2150537634408602	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
10	REAC	REAC:R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	5.025392509006127e-21	True	Toll Like Receptor 5 (TLR5) Cascade	93	92	20	10022	0.217391304347826	0.2150537634408602	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
11	REAC	REAC:R-HSA-975871	MyD88 cascade initiated on plasma membrane	5.025392509006127e-21	True	MyD88 cascade initiated on plasma membrane	93	92	20	10022	0.217391304347826	0.2150537634408602	query_1	['REAC:R-HSA-168142', 'REAC:R-HSA-168176']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
13	REAC	REAC:R-HSA-9020702	Interleukin-1 signaling	5.361261613309814e-21	True	Interleukin-1 signaling	110	92	21	10022	0.2282608695652173	0.1909090909090909	query_1	['REAC:R-HSA-446652']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
4	GO:BP	GO:1901564	organonitrogen compound metabolic process	8.765911216808157e-21	True	"""The chemical reactions and pathways involving organonitrogen compound."" [GOC:pr, GOC:TermGenie]"	5961	98	85	15719	0.8673469387755102	0.0142593524576413	query_1	['GO:0006807', 'GO:0071704']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'SNX1', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'DLAT', 'RELA', 'IKBKB', 'PDHA2', 'ELOB', 'PDHX', 'PDHB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'DBT', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'EGLN1', 'VHL', 'BCKDK', 'BCKDHB', 'PDHA1', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'CFLAR', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'STAT5A', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'NFKBIA', 'SKP2', 'CASP8', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'BCKDHA', 'PRLR']
3	GO:BP	GO:0070887	cellular response to chemical stimulus	8.765911216808157e-21	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]"	2579	98	60	15719	0.6122448979591837	0.0232648313299728	query_1	['GO:0042221', 'GO:0051716']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'GSK3B', 'CDK5RAP3', 'NFKBIB', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'BTRC', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'EGLN1', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'EPAS1', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'PDK1', 'ARNT', 'AHR', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'RELB', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'FBXW7', 'UBA5', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
15	REAC	REAC:R-HSA-5607764	CLEC7A (Dectin-1) signaling	1.0168772719886775e-20	True	CLEC7A (Dectin-1) signaling	97	92	20	10022	0.217391304347826	0.2061855670103092	query_1	['REAC:R-HSA-5621481']	['MAP3K14', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'RELB', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1', 'BCL10']
14	REAC	REAC:R-HSA-5621481	C-type lectin receptors (CLRs)	1.0168772719886775e-20	True	C-type lectin receptors (CLRs)	132	92	22	10022	0.2391304347826087	0.1666666666666666	query_1	['REAC:R-HSA-168249']	['CREBBP', 'MAP3K14', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'SKP1', 'MALT1', 'NFKB2', 'EP300', 'FBXW11', 'IKBKG', 'TAB1', 'MAP3K7', 'RELB', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1', 'BCL10']
16	REAC	REAC:R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	1.1941667967163741e-20	True	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	98	92	20	10022	0.217391304347826	0.2040816326530612	query_1	['REAC:R-HSA-975155']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
17	REAC	REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	1.4035994486593233e-20	True	MyD88 dependent cascade initiated on endosome	99	92	20	10022	0.217391304347826	0.202020202020202	query_1	['REAC:R-HSA-168138', 'REAC:R-HSA-168181']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
18	REAC	REAC:R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	1.65069009311845e-20	True	Toll Like Receptor 7/8 (TLR7/8) Cascade	100	92	20	10022	0.217391304347826	0.2	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
5	GO:BP	GO:0036211	protein modification process	1.803783304415769e-20	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3399	98	67	15719	0.6836734693877551	0.0197116799058546	query_1	['GO:0019538', 'GO:0043412']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'PRLR']
19	REAC	REAC:R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	2.95630908947512e-20	True	Toll Like Receptor 9 (TLR9) Cascade	103	92	20	10022	0.217391304347826	0.1941747572815534	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
6	GO:BP	GO:0043412	macromolecule modification	6.046324824231551e-20	True	"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]"	3600	98	68	15719	0.6938775510204082	0.0188888888888888	query_1	['GO:0043170']	['SNX6', 'SHARPIN', 'EGLN3', 'PDK4', 'MAP3K8', 'GCSH', 'PPM1K', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'DLST', 'MAP3K14', 'TRAF3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'ELOB', 'OS9', 'DDRGK1', 'UFL1', 'RBX1', 'METTL21C', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'EGLN1', 'VHL', 'BCKDK', 'GH2', 'HIF1A', 'RIPK1', 'SKP1', 'EPAS1', 'ELOC', 'PDK3', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'PDK1', 'ARNT', 'TAB1', 'BIRC3', 'GH1', 'NSUN6', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'BIRC2', 'DLD', 'PDK2', 'CUL5', 'SKP2', 'CUL1', 'CUL2', 'FBXW7', 'UBA5', 'OGDH', 'BCL10', 'CSH2', 'UFM1', 'PRLR']
21	REAC	REAC:R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	8.984261916194548e-20	True	Toll Like Receptor TLR6:TLR2 Cascade	109	92	20	10022	0.217391304347826	0.1834862385321101	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
20	REAC	REAC:R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	8.984261916194548e-20	True	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	109	92	20	10022	0.217391304347826	0.1834862385321101	query_1	['REAC:R-HSA-166016', 'REAC:R-HSA-168179', 'REAC:R-HSA-168188']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
22	REAC	REAC:R-HSA-446652	Interleukin-1 family signaling	9.245460683426158e-20	True	Interleukin-1 family signaling	148	92	22	10022	0.2391304347826087	0.1486486486486486	query_1	['REAC:R-HSA-449147']	['MAP3K8', 'NFKBIB', 'STAT3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
24	REAC	REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	1.405398425509965e-19	True	Toll Like Receptor TLR1:TLR2 Cascade	112	92	20	10022	0.217391304347826	0.1785714285714285	query_1	['REAC:R-HSA-181438']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
23	REAC	REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	1.405398425509965e-19	True	Toll Like Receptor 2 (TLR2) Cascade	112	92	20	10022	0.217391304347826	0.1785714285714285	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'NFKB1', 'TNIP2', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'CUL1']
25	REAC	REAC:R-HSA-1170546	Prolactin receptor signaling	1.479053262394309e-19	True	Prolactin receptor signaling	14	92	11	10022	0.1195652173913043	0.7857142857142857	query_1	['REAC:R-HSA-1280215']	['RBX1', 'BTRC', 'GH2', 'SKP1', 'GH1', 'GHR', 'STAT5A', 'CUL1', 'PRL', 'STAT5B', 'PRLR']
26	REAC	REAC:R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	1.6000048464105171e-19	True	DDX58/IFIH1-mediated induction of interferon-alpha/beta	80	92	18	10022	0.1956521739130435	0.225	query_1	['REAC:R-HSA-168249']	['CREBBP', 'NFKBIB', 'TRAF3', 'CASP10', 'HSP90AB1', 'CHUK', 'RELA', 'IKBKB', 'FADD', 'NFKB1', 'RIPK1', 'NFKB2', 'EP300', 'IKBKG', 'TRAF2', 'TRAF6', 'NFKBIA', 'CASP8']
7	GO:BP	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	2.3363658900297977e-19	True	"""The chemical reactions and pathways resulting in the formation of acetyl-CoA from pyruvate."" [GOC:dph, GOC:go_curators, GOC:tb]"	11	98	10	15719	0.1020408163265306	0.9090909090909092	query_1	['GO:0006085', 'GO:0006090']	['PDK4', 'DLAT', 'PDHA2', 'PDHX', 'PDHB', 'PDHA1', 'PDK3', 'PDK1', 'DLD', 'PDK2']
8	GO:BP	GO:0071310	cellular response to organic substance	3.0875964510973075e-19	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1915	98	51	15719	0.5204081632653061	0.0266318537859007	query_1	['GO:0010033', 'GO:0070887']	['SNX6', 'SHARPIN', 'PDK4', 'GSK3B', 'CDK5RAP3', 'NFKBIB', 'TRAF3', 'STAT3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'OS9', 'DDRGK1', 'UFL1', 'METTL21C', 'BTRC', 'TNF', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'PDK3', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'AHR', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'TRAF6', 'STAT5A', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'UBA5', 'BCL10', 'CSH2', 'UFM1', 'STAT5B', 'PRLR']
9	GO:BP	GO:0009966	regulation of signal transduction	5.746480402240748e-19	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	2829	98	60	15719	0.6122448979591837	0.0212089077412513	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['SNX6', 'SHARPIN', 'GSK3B', 'CDK5RAP3', 'CREBBP', 'NFKBIB', 'MAP3K14', 'TRAF3', 'STAT3', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBX1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'TNIP2', 'VHL', 'GH2', 'HIF1A', 'RIPK1', 'CFLAR', 'TRADD', 'SOCS2', 'MALT1', 'EP300', 'FBXW11', 'ARNT', 'IKBKG', 'TAB1', 'BIRC3', 'GH1', 'TRAF2', 'MAP3K7', 'GHR', 'REL', 'TRAF6', 'BIRC2', 'PDK2', 'NFKBIA', 'SKP2', 'CASP8', 'ABHD6', 'FBXW7', 'UBA5', 'BCL10', 'PRL', 'CSH2', 'UFM1', 'PRLR']
