Cluster	HPO ID	Phenotype	p-value	Corrected p-value
4	HP:0002827	Hip dislocation	1.0	1.0
4	HP:0003236	Elevated circulating creatine kinase concentration	0.14028980753083478	1.0
4	HP:0002381	Aphasia	1.0	1.0
4	HP:0001681	Angina pectoris	1.0	1.0
4	HP:0002251	Aganglionic megacolon	1.0	1.0
4	HP:0001822	Hallux valgus	1.0	1.0
4	HP:0100025	Overfriendliness	1.0	1.0
4	HP:0100335	Non-midline cleft lip	1.0	1.0
4	HP:0007272	Progressive psychomotor deterioration	1.0	1.0
4	HP:0000267	Cranial asymmetry	1.0	1.0
4	HP:0001010	Hypopigmentation of the skin	0.13524937980241591	1.0
4	HP:0010903	Abnormal circulating glutamine concentration	1.0	1.0
4	HP:0002120	Cerebral cortical atrophy	1.0	1.0
4	HP:0001770	Toe syndactyly	1.0	1.0
4	HP:0001627	Abnormal heart morphology	0.2160942248057805	1.0
4	HP:0006538	Recurrent bronchopulmonary infections	1.0	1.0
4	HP:0002018	Nausea	1.0	1.0
4	HP:0012569	Delayed menarche	1.0	1.0
4	HP:0003241	External genital hypoplasia	0.02476045530798255	1.0
4	HP:0100670	Coarse metaphyseal trabecularization	1.0	1.0
4	HP:0004467	Preauricular pit	1.0	1.0
4	HP:0000587	Abnormal optic nerve morphology	1.0	1.0
4	HP:0001510	Growth delay	0.0083655561550861	0.8777398919644185
4	HP:0000717	Autism	1.0	1.0
4	HP:0012330	Pyelonephritis	1.0	1.0
4	HP:0001172	Abnormal thumb morphology	0.22498233237889084	1.0
4	HP:0003138	Increased blood urea nitrogen	1.0	1.0
4	HP:0009762	Facial wrinkling	1.0	1.0
4	HP:0002816	Genu recurvatum	1.0	1.0
4	HP:0002562	Low-set nipples	1.0	1.0
4	HP:0030445	Pulmonary carcinoid tumor	1.0	1.0
4	HP:0000054	Micropenis	0.08185722520324888	1.0
4	HP:0002992	Abnormality of tibia morphology	1.0	1.0
4	HP:0007900	Hypoplastic lacrimal duct	1.0	1.0
4	HP:0000680	Delayed eruption of primary teeth	1.0	1.0
4	HP:0001929	Reduced factor XI activity	1.0	1.0
4	HP:0002300	Mutism	1.0	1.0
4	HP:0000974	Hyperextensible skin	1.0	1.0
4	HP:0100807	Long fingers	0.15527894797274377	1.0
4	HP:0002028	Chronic diarrhea	1.0	1.0
4	HP:0000154	Wide mouth	1.0	1.0
4	HP:0001598	Concave nail	1.0	1.0
4	HP:0001007	Hirsutism	1.0	1.0
4	HP:0100838	Recurrent cutaneous abscess formation	1.0	1.0
4	HP:0004943	Accelerated atherosclerosis	1.0	1.0
4	HP:0000545	Myopia	1.0	1.0
4	HP:0000378	Cupped ear	1.0	1.0
4	HP:0000218	High palate	0.3032576731902313	1.0
4	HP:0005374	Cellular immunodeficiency	1.0	1.0
4	HP:0000989	Pruritus	1.0	1.0
4	HP:0100679	Lack of skin elasticity	1.0	1.0
4	HP:0004396	Poor appetite	1.0	1.0
4	HP:0009811	Abnormality of the elbow	1.0	1.0
4	HP:0000573	Retinal hemorrhage	1.0	1.0
4	HP:0000689	Dental malocclusion	1.0	1.0
4	HP:0007266	Cerebral dysmyelination	1.0	1.0
4	HP:0012444	Brain atrophy	0.03247962036593336	1.0
4	HP:0003139	Panhypogammaglobulinemia	1.0	1.0
4	HP:0002536	Abnormal cortical gyration	1.0	1.0
4	HP:0010724	Advanced pneumatization of the mastoid process	1.0	1.0
4	HP:0001872	Abnormality of thrombocytes	1.0	1.0
4	HP:0001541	Ascites	1.0	1.0
4	HP:0012732	Anorectal anomaly	1.0	1.0
4	HP:0002616	Aortic root aneurysm	1.0	1.0
4	HP:0003738	Exercise-induced myalgia	1.0	1.0
4	HP:0004415	Pulmonary artery stenosis	1.0	1.0
4	HP:0002345	Action tremor	1.0	1.0
4	HP:0001788	Premature rupture of membranes	1.0	1.0
4	HP:0002781	Upper airway obstruction	1.0	1.0
4	HP:0005294	Arterial dissection	1.0	1.0
4	HP:0000446	Narrow nasal bridge	1.0	1.0
4	HP:0000621	Entropion	1.0	1.0
4	HP:0200037	Skin vesicle	1.0	1.0
4	HP:0000648	Optic atrophy	1.0	1.0
4	HP:0001659	Aortic regurgitation	1.0	1.0
4	HP:0005115	Supraventricular arrhythmia	1.0	1.0
4	HP:0007766	Optic disc hypoplasia	1.0	1.0
4	HP:0012804	Corneal ulceration	1.0	1.0
4	HP:0002619	Varicose veins	1.0	1.0
4	HP:0010529	Echolalia	1.0	1.0
4	HP:0011950	Bronchiolitis	1.0	1.0
4	HP:0010530	Palatal tremor	1.0	1.0
4	HP:0001274	Agenesis of corpus callosum	1.0	1.0
4	HP:0000055	Abnormality of female external genitalia	1.0	1.0
4	HP:0006334	Hypoplasia of the primary teeth	1.0	1.0
4	HP:0001808	Fragile nails	1.0	1.0
4	HP:0002974	Radioulnar synostosis	1.0	1.0
4	HP:0002334	Abnormal cerebellar vermis morphology	1.0	1.0
4	HP:0009909	Uplifted earlobe	1.0	1.0
4	HP:0003777	Pili torti	1.0	1.0
4	HP:0010579	Cone-shaped epiphysis	1.0	1.0
4	HP:0000025	Functional abnormality of male internal genitalia	0.06768622397845896	1.0
4	HP:0006482	Abnormality of dental morphology	1.0	1.0
4	HP:0000233	Thin vermilion border	1.0	1.0
4	HP:0001645	Sudden cardiac death	1.0	1.0
4	HP:0100704	Cerebral visual impairment	0.0424930106242112	1.0
4	HP:0002757	Recurrent fractures	1.0	1.0
4	HP:0001136	Retinal arteriolar tortuosity	1.0	1.0
4	HP:0002980	Femoral bowing	1.0	1.0
4	HP:0000962	Hyperkeratosis	1.0	1.0
4	HP:0002015	Dysphagia	1.0	1.0
4	HP:0002999	Patellar dislocation	1.0	1.0
4	HP:0012508	Metamorphopsia	1.0	1.0
4	HP:0001744	Splenomegaly	0.022187272434703732	1.0
4	HP:0001723	Restrictive cardiomyopathy	1.0	1.0
4	HP:0007457	Prominent veins on trunk	1.0	1.0
4	HP:0003487	Babinski sign	1.0	1.0
4	HP:0001317	Abnormal cerebellum morphology	0.07457462660619352	1.0
4	HP:0008909	Lethal short-limbed short stature	1.0	1.0
4	HP:0000160	Narrow mouth	0.13356432233708102	1.0
4	HP:0003072	Hypercalcemia	1.0	1.0
4	HP:0000089	Renal hypoplasia	1.0	1.0
4	HP:0000319	Smooth philtrum	1.0	1.0
4	HP:0005401	Recurrent candida infections	1.0	1.0
4	HP:0002150	Hypercalciuria	1.0	1.0
4	HP:0012368	Flat face	1.0	1.0
4	HP:0000135	Hypogonadism	0.16843730709491522	1.0
4	HP:0001339	Lissencephaly	1.0	1.0
4	HP:0006660	Aplastic clavicle	1.0	1.0
4	HP:0030796	Increased C-peptide level	1.0	1.0
4	HP:0007400	Irregular hyperpigmentation	1.0	1.0
4	HP:0004552	Scarring alopecia of scalp	1.0	1.0
4	HP:0000651	Diplopia	1.0	1.0
4	HP:0002714	Downturned corners of mouth	1.0	1.0
4	HP:0003423	Thoracolumbar kyphoscoliosis	1.0	1.0
4	HP:0002310	Orofacial dyskinesia	1.0	1.0
4	HP:0000561	Absent eyelashes	1.0	1.0
4	HP:0000520	Proptosis	1.0	1.0
4	HP:0025168	Left ventricular diastolic dysfunction	1.0	1.0
4	HP:0001015	Prominent superficial veins	1.0	1.0
4	HP:0011527	Lentiglobus	1.0	1.0
4	HP:0001626	Abnormality of the cardiovascular system	0.3026204835295481	1.0
4	HP:0000239	Large fontanelles	1.0	1.0
4	HP:0003429	CNS hypomyelination	1.0	1.0
4	HP:0011998	Postprandial hyperglycemia	1.0	1.0
4	HP:0002545	Patchy demyelination of subcortical white matter	1.0	1.0
4	HP:0001639	Hypertrophic cardiomyopathy	1.0	1.0
4	HP:0000015	Bladder diverticulum	1.0	1.0
4	HP:0009726	Renal neoplasm	1.0	1.0
4	HP:0001053	Hypopigmented skin patches	0.06322433272071865	1.0
4	HP:0100542	Abnormal localization of kidney	1.0	1.0
4	HP:0001324	Muscle weakness	0.4756402635659388	1.0
4	HP:0002385	Paraparesis	1.0	1.0
4	HP:0001009	Telangiectasia	1.0	1.0
4	HP:0012474	Carotid artery occlusion	1.0	1.0
4	HP:0001001	Abnormality of subcutaneous fat tissue	1.0	1.0
4	HP:0002123	Generalized myoclonic seizure	1.0	1.0
4	HP:0000293	Full cheeks	1.0	1.0
4	HP:0100275	Diffuse cerebellar atrophy	1.0	1.0
4	HP:0011024	Abnormality of the gastrointestinal tract	1.0	1.0
4	HP:0000445	Wide nose	0.06768622397845896	1.0
4	HP:0011098	Speech apraxia	1.0	1.0
4	HP:0002070	Limb ataxia	1.0	1.0
4	HP:0012760	Reduced social reciprocity	1.0	1.0
4	HP:0100813	Testicular torsion	1.0	1.0
4	HP:0100526	Neoplasm of the lung	1.0	1.0
4	HP:0000632	Lacrimation abnormality	1.0	1.0
4	HP:0000722	Compulsive behaviors	1.0	1.0
4	HP:0009839	Osteolytic defects of the distal phalanges of the hand	1.0	1.0
4	HP:0001953	Diabetic ketoacidosis	1.0	1.0
4	HP:0011362	Abnormal hair quantity	0.4265674503926507	1.0
4	HP:0004482	Relative macrocephaly	1.0	1.0
4	HP:0008138	Equinus calcaneus	1.0	1.0
4	HP:0008993	Increased intraabdominal fat	1.0	1.0
4	HP:0009125	Lipodystrophy	1.0	1.0
4	HP:0002321	Vertigo	1.0	1.0
4	HP:0006532	Recurrent pneumonia	1.0	1.0
4	HP:0005421	Decreased circulating complement C3 concentration	1.0	1.0
4	HP:0000144	Decreased fertility	1.0	1.0
4	HP:0000563	Keratoconus	1.0	1.0
4	HP:0002183	Phonophobia	1.0	1.0
4	HP:0001290	Generalized hypotonia	1.0	1.0
4	HP:0001386	Joint swelling	1.0	1.0
4	HP:0001611	Hypernasal speech	1.0	1.0
4	HP:0000607	Periorbital wrinkles	1.0	1.0
4	HP:0001629	Ventricular septal defect	1.0	1.0
4	HP:0011182	Interictal epileptiform activity	1.0	1.0
4	HP:0007367	Atrophy/Degeneration affecting the central nervous system	0.04172458918684273	1.0
4	HP:0100242	Sarcoma	1.0	1.0
4	HP:0001397	Hepatic steatosis	1.0	1.0
4	HP:0002676	Cloverleaf skull	1.0	1.0
4	HP:0004322	Short stature	0.034166237804387795	1.0
4	HP:0006487	Bowing of the long bones	0.17658283413110196	1.0
4	HP:0000475	Broad neck	1.0	1.0
4	HP:0000543	Optic disc pallor	1.0	1.0
4	HP:0001881	Abnormal leukocyte morphology	1.0	1.0
4	HP:0002332	Lack of peer relationships	1.0	1.0
4	HP:0001265	Hyporeflexia	0.11999504956478468	1.0
4	HP:0031289	White papule	1.0	1.0
4	HP:0000678	Dental crowding	1.0	1.0
4	HP:0005181	Premature coronary artery atherosclerosis	1.0	1.0
4	HP:0007665	Curly eyelashes	1.0	1.0
4	HP:0031250	Lip fissure	1.0	1.0
4	HP:0010662	Abnormality of the diencephalon	1.0	1.0
4	HP:0002292	Frontal balding	1.0	1.0
4	HP:0000966	Hypohidrosis	1.0	1.0
4	HP:0100579	Mucosal telangiectasiae	1.0	1.0
4	HP:0000126	Hydronephrosis	1.0	1.0
4	HP:0000508	Ptosis	0.28664349866014294	1.0
4	HP:0001152	Saccadic smooth pursuit	1.0	1.0
4	HP:0001276	Hypertonia	1.0	1.0
4	HP:0025014	Subcutaneous spheroids	1.0	1.0
4	HP:0001100	Heterochromia iridis	1.0	1.0
4	HP:0001081	Cholelithiasis	1.0	1.0
4	HP:0001034	Hypermelanotic macule	1.0	1.0
4	HP:0004398	Peptic ulcer	1.0	1.0
4	HP:0100840	Aplasia/Hypoplasia of the eyebrow	1.0	1.0
4	HP:0100607	Dysmenorrhea	1.0	1.0
4	HP:0000842	Hyperinsulinemia	1.0	1.0
4	HP:0000831	Insulin-resistant diabetes mellitus	1.0	1.0
4	HP:0009064	Generalized lipodystrophy	1.0	1.0
4	HP:0000736	Short attention span	1.0	1.0
4	HP:0002644	Abnormal pelvic girdle bone morphology	1.0	1.0
4	HP:0005113	Aortic arch aneurysm	1.0	1.0
4	HP:0000593	Abnormal anterior chamber morphology	1.0	1.0
4	HP:0002167	Abnormality of speech or vocalization	0.6055202609496355	1.0
4	HP:0007552	Abnormal subcutaneous fat tissue distribution	1.0	1.0
4	HP:0009804	Tooth agenesis	1.0	1.0
4	HP:0001733	Pancreatitis	1.0	1.0
4	HP:0010318	Aplasia/Hypoplasia of the abdominal wall musculature	1.0	1.0
4	HP:0100026	Arteriovenous malformation	1.0	1.0
4	HP:0005214	Intestinal obstruction	1.0	1.0
4	HP:0000176	Submucous cleft hard palate	1.0	1.0
4	HP:0000056	Abnormality of the clitoris	1.0	1.0
4	HP:0001482	Subcutaneous nodule	1.0	1.0
4	HP:0009465	Ulnar deviation of finger	1.0	1.0
4	HP:0000039	Epispadias	1.0	1.0
4	HP:0011995	Atrial septal dilatation	1.0	1.0
4	HP:0008527	Congenital sensorineural hearing impairment	1.0	1.0
4	HP:0001028	Hemangioma	1.0	1.0
4	HP:0005268	Miscarriage	1.0	1.0
4	HP:0001155	Abnormality of the hand	0.33852172992168866	1.0
4	HP:0012707	Elevated brain lactate level by MRS	1.0	1.0
4	HP:0040189	Scaling skin	1.0	1.0
4	HP:0002595	Ileus	1.0	1.0
4	HP:0001956	Truncal obesity	1.0	1.0
4	HP:0000455	Broad nasal tip	1.0	1.0
4	HP:0100541	Femoral hernia	1.0	1.0
4	HP:0000278	Retrognathia	0.00015051990844740535	0.06711202083650153
4	HP:0001595	Abnormal hair morphology	0.030944798610835846	1.0
4	HP:0001531	Failure to thrive in infancy	1.0	1.0
4	HP:0010804	Tented upper lip vermilion	1.0	1.0
4	HP:0002250	Abnormal large intestine morphology	1.0	1.0
4	HP:0012301	Type II transferrin isoform profile	0.005621253597871143	0.6389491589580198
4	HP:0000164	Abnormality of the dentition	1.0	1.0
4	HP:0100833	Neoplasm of the small intestine	1.0	1.0
4	HP:0000951	Abnormality of the skin	0.030845858271752173	1.0
4	HP:0000870	Increased circulating prolactin concentration	1.0	1.0
4	HP:0000682	Abnormal dental enamel morphology	1.0	1.0
4	HP:0001344	Absent speech	1.0	1.0
4	HP:0025019	Arterial rupture	1.0	1.0
4	HP:0002126	Polymicrogyria	1.0	1.0
4	HP:0001252	Hypotonia	0.20968041162876325	1.0
4	HP:0007371	Corpus callosum atrophy	1.0	1.0
4	HP:0000363	Abnormal earlobe morphology	1.0	1.0
4	HP:0001094	Iridocyclitis	1.0	1.0
4	HP:0000653	Sparse eyelashes	1.0	1.0
4	HP:0003771	Pulp calcification	1.0	1.0
4	HP:0005461	Craniofacial disproportion	1.0	1.0
4	HP:0010989	Abnormality of the intrinsic pathway	1.0	1.0
4	HP:0003097	Short femur	1.0	1.0
4	HP:0005293	Venous insufficiency	1.0	1.0
4	HP:0001760	Abnormal foot morphology	1.0	1.0
4	HP:0001562	Oligohydramnios	0.06768622397845896	1.0
4	HP:0011496	Corneal neovascularization	1.0	1.0
4	HP:0003124	Hypercholesterolemia	1.0	1.0
4	HP:0100648	Neoplasm of the tongue	1.0	1.0
4	HP:0005792	Short humerus	1.0	1.0
4	HP:0011859	Punctate keratitis	1.0	1.0
4	HP:0005465	Facial hyperostosis	1.0	1.0
4	HP:0010807	Open bite	1.0	1.0
4	HP:0000358	Posteriorly rotated ears	0.2164165307212751	1.0
4	HP:0004331	Decreased skull ossification	1.0	1.0
4	HP:0000819	Diabetes mellitus	1.0	1.0
4	HP:0100585	Telangiectasia of the skin	1.0	1.0
4	HP:0002705	High, narrow palate	1.0	1.0
4	HP:0000739	Anxiety	1.0	1.0
4	HP:0001943	Hypoglycemia	1.0	1.0
4	HP:0000460	Narrow nose	1.0	1.0
4	HP:0005852	Limited elbow extension and supination	1.0	1.0
4	HP:0002575	Tracheoesophageal fistula	1.0	1.0
4	HP:0007633	Bilateral microphthalmos	1.0	1.0
4	HP:0000789	Infertility	1.0	1.0
4	HP:0001385	Hip dysplasia	1.0	1.0
4	HP:0000961	Cyanosis	1.0	1.0
4	HP:0200141	Small, conical teeth	1.0	1.0
4	HP:0005743	Avascular necrosis of the capital femoral epiphysis	1.0	1.0
4	HP:0000556	Retinal dystrophy	1.0	1.0
4	HP:0005406	Recurrent bacterial skin infections	1.0	1.0
4	HP:0000071	Ureteral stenosis	1.0	1.0
4	HP:0000766	Abnormal sternum morphology	1.0	1.0
4	HP:0002002	Deep philtrum	1.0	1.0
4	HP:0030001	Lagophthalmos	1.0	1.0
4	HP:0012745	Short palpebral fissure	1.0	1.0
4	HP:0100324	Scleroderma	1.0	1.0
4	HP:0012762	Cerebral white matter atrophy	0.028788451824514352	1.0
4	HP:0002671	Basal cell carcinoma	1.0	1.0
4	HP:0000954	Single transverse palmar crease	1.0	1.0
4	HP:0007509	Patchy hypo- and hyperpigmentation	1.0	1.0
4	HP:0000568	Microphthalmia	1.0	1.0
4	HP:0000175	Cleft palate	1.0	1.0
4	HP:0001518	Small for gestational age	0.09150564521982694	1.0
4	HP:0003834	Shoulder dislocation	1.0	1.0
4	HP:0000708	Atypical behavior	0.7579134282293176	1.0
4	HP:0007034	Generalized hyperreflexia	1.0	1.0
4	HP:0004372	Reduced consciousness/confusion	1.0	1.0
4	HP:0000387	Absent earlobe	1.0	1.0
4	HP:0000601	Hypotelorism	1.0	1.0
4	HP:0000657	Oculomotor apraxia	1.0	1.0
4	HP:0007256	Abnormal pyramidal sign	1.0	1.0
4	HP:0003010	Prolonged bleeding time	1.0	1.0
4	HP:0006481	Abnormality of primary teeth	1.0	1.0
4	HP:0000474	Thickened nuchal skin fold	1.0	1.0
4	HP:0000668	Hypodontia	1.0	1.0
4	HP:0000565	Esotropia	1.0	1.0
4	HP:0005616	Accelerated skeletal maturation	1.0	1.0
4	HP:0002355	Difficulty walking	1.0	1.0
4	HP:0001302	Pachygyria	1.0	1.0
4	HP:0009904	Prominent ear helix	1.0	1.0
4	HP:0005150	Abnormal atrioventricular conduction	1.0	1.0
4	HP:0000582	Upslanted palpebral fissure	1.0	1.0
4	HP:0001211	Abnormal fingertip morphology	1.0	1.0
4	HP:0000934	Chondrocalcinosis	1.0	1.0
4	HP:0003765	Psoriasiform dermatitis	1.0	1.0
4	HP:0002179	Opisthotonus	1.0	1.0
4	HP:0030002	Nocturnal lagophthalmos	1.0	1.0
4	HP:0000294	Low anterior hairline	1.0	1.0
4	HP:0100334	Unilateral cleft palate	1.0	1.0
4	HP:0007370	Aplasia/Hypoplasia of the corpus callosum	1.0	1.0
4	HP:0000147	Polycystic ovaries	1.0	1.0
4	HP:0000488	Retinopathy	1.0	1.0
4	HP:0007407	Excessive skin wrinkling on dorsum of hands and fingers	1.0	1.0
4	HP:0001636	Tetralogy of Fallot	1.0	1.0
4	HP:0025080	Orthokeratotic hyperkeratosis	1.0	1.0
4	HP:0001284	Areflexia	0.12169986565725037	1.0
4	HP:0000431	Wide nasal bridge	0.2164165307212751	1.0
4	HP:0011354	Generalized abnormality of skin	0.000795415798741229	0.18082452491383938
4	HP:0006297	Enamel hypoplasia	1.0	1.0
4	HP:0005274	Prominent nasal tip	1.0	1.0
4	HP:0001530	Mild postnatal growth retardation	1.0	1.0
4	HP:0002828	Multiple joint contractures	1.0	1.0
4	HP:0002647	Aortic dissection	1.0	1.0
4	HP:0006698	Dilatation of the ventricular cavity	1.0	1.0
4	HP:0008038	Aplastic/hypoplastic lacrimal glands	1.0	1.0
4	HP:0025201	Abnormal circulating apolipoprotein concentration	1.0	1.0
4	HP:0008209	Premature ovarian insufficiency	1.0	1.0
4	HP:0030880	Raynaud phenomenon	1.0	1.0
4	HP:0001638	Cardiomyopathy	0.21171445496650815	1.0
4	HP:0001045	Vitiligo	0.024187741651660873	1.0
4	HP:0012043	Pendular nystagmus	1.0	1.0
4	HP:0002097	Emphysema	1.0	1.0
4	HP:0000612	Iris coloboma	1.0	1.0
4	HP:0100699	Scarring	1.0	1.0
4	HP:0001620	High pitched voice	1.0	1.0
4	HP:0008850	Severe postnatal growth retardation	1.0	1.0
4	HP:0000967	Petechiae	1.0	1.0
4	HP:0001156	Brachydactyly	1.0	1.0
4	HP:0000993	Molluscoid pseudotumors	1.0	1.0
4	HP:0003256	Abnormality of the coagulation cascade	1.0	1.0
4	HP:0003220	Abnormality of chromosome stability	1.0	1.0
4	HP:0000501	Glaucoma	0.1267994541637874	1.0
4	HP:0000713	Agitation	1.0	1.0
4	HP:0001367	Abnormal joint morphology	0.6424673328091965	1.0
4	HP:0000926	Platyspondyly	1.0	1.0
4	HP:0002861	Melanoma	1.0	1.0
4	HP:0002289	Alopecia universalis	1.0	1.0
4	HP:0000707	Abnormality of the nervous system	0.3264757216528719	1.0
4	HP:0100827	Lymphocytosis	1.0	1.0
4	HP:0000238	Hydrocephalus	1.0	1.0
4	HP:0008736	Hypoplasia of penis	0.16843730709491522	1.0
4	HP:0032263	Increased blood pressure	0.19907211112898812	1.0
4	HP:0001058	Poor wound healing	1.0	1.0
4	HP:0000481	Abnormal cornea morphology	1.0	1.0
4	HP:0000869	Secondary amenorrhea	1.0	1.0
4	HP:0000704	Periodontitis	1.0	1.0
4	HP:0009891	Underdeveloped supraorbital ridges	1.0	1.0
4	HP:0001090	Abnormally large globe	1.0	1.0
4	HP:0025167	Fragmented elastic fibers in the dermis	1.0	1.0
4	HP:0001714	Ventricular hypertrophy	1.0	1.0
4	HP:0006323	Premature loss of primary teeth	1.0	1.0
4	HP:0000028	Cryptorchidism	0.3581216767061857	1.0
4	HP:0001357	Plagiocephaly	1.0	1.0
4	HP:0002446	Astrocytosis	1.0	1.0
4	HP:0008968	Muscle hypertrophy of the lower extremities	1.0	1.0
4	HP:0100240	Synostosis of joints	1.0	1.0
4	HP:0001328	Specific learning disability	1.0	1.0
4	HP:0008734	Decreased testicular size	0.07124424531977945	1.0
4	HP:0001342	Cerebral hemorrhage	0.028788451824514352	1.0
4	HP:0100539	Periorbital edema	1.0	1.0
4	HP:0002317	Unsteady gait	1.0	1.0
4	HP:0002315	Headache	1.0	1.0
4	HP:0000343	Long philtrum	0.1798242315161385	1.0
4	HP:0100784	Peripheral arteriovenous fistula	1.0	1.0
4	HP:0006801	Hyperactive deep tendon reflexes	1.0	1.0
4	HP:0002907	Microscopic hematuria	1.0	1.0
4	HP:0001326	EEG with irregular generalized spike and wave complexes	1.0	1.0
4	HP:0011359	Dry hair	1.0	1.0
4	HP:0000982	Palmoplantar keratoderma	1.0	1.0
4	HP:0011931	Abnormal cerebellar peduncle morphology	1.0	1.0
4	HP:0003307	Hyperlordosis	1.0	1.0
4	HP:0011342	Mild global developmental delay	1.0	1.0
4	HP:0002514	Cerebral calcification	1.0	1.0
4	HP:0000448	Prominent nose	0.04612293496328989	1.0
4	HP:0000134	Female hypogonadism	1.0	1.0
4	HP:0030685	Decreased adiponectin level	1.0	1.0
4	HP:0002894	Neoplasm of the pancreas	1.0	1.0
4	HP:0001030	Fragile skin	1.0	1.0
4	HP:0030838	Hip pain	1.0	1.0
4	HP:0000174	Abnormal palate morphology	0.537493836361477	1.0
4	HP:0100321	Abnormal dentate nucleus morphology	1.0	1.0
4	HP:0003298	Spina bifida occulta	1.0	1.0
4	HP:0007366	Atrophy/Degeneration affecting the brainstem	0.017719310861839747	1.0
4	HP:0002242	Abnormal intestine morphology	1.0	1.0
4	HP:0000969	Edema	1.0	1.0
4	HP:0040019	Finger clinodactyly	0.23193831887353253	1.0
4	HP:0011040	Abnormal intrahepatic bile duct morphology	1.0	1.0
4	HP:0008070	Sparse hair	0.16023149522126784	1.0
4	HP:0006248	Limited wrist movement	1.0	1.0
4	HP:0410219	Hypoplasia of mandible relative to maxilla	1.0	1.0
4	HP:0003160	Abnormal isoelectric focusing of serum transferrin	0.00012484176579916282	0.06711202083650153
4	HP:0012393	Allergy	1.0	1.0
4	HP:0100512	Low levels of vitamin D	1.0	1.0
4	HP:0003422	Vertebral segmentation defect	1.0	1.0
4	HP:0001654	Abnormal heart valve morphology	1.0	1.0
4	HP:0000505	Visual impairment	0.08375017663843416	1.0
4	HP:0000464	Abnormality of the neck	0.05967825635424202	1.0
4	HP:0000546	Retinal degeneration	1.0	1.0
4	HP:0012448	Delayed myelination	0.059643304249817494	1.0
4	HP:0002659	Increased susceptibility to fractures	1.0	1.0
4	HP:0010719	Abnormality of hair texture	1.0	1.0
4	HP:0000275	Narrow face	1.0	1.0
4	HP:0200055	Small hand	1.0	1.0
4	HP:0003002	Breast carcinoma	1.0	1.0
4	HP:0002553	Highly arched eyebrow	1.0	1.0
4	HP:0025428	Bronchospasm	1.0	1.0
