Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
			REAC:R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	81	REAC:R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	66	REAC:R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	131									
			REAC:R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	67															
			REAC:R-HSA-73893	DNA Damage Bypass	68	REAC:R-HSA-73893	DNA Damage Bypass	106												
			REAC:R-HSA-5685939	HDR through MMEJ (alt-NHEJ)	71															
			REAC:R-HSA-6783310	Fanconi Anemia Pathway	74															
			REAC:R-HSA-5656169	Termination of translesion DNA synthesis	78															
			REAC:R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	82							REAC:R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	211						
			REAC:R-HSA-5693606	DNA Double Strand Break Response	83							REAC:R-HSA-5693606	DNA Double Strand Break Response	212						
			REAC:R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	85	REAC:R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	213												
			REAC:R-HSA-5696394	DNA Damage Recognition in GG-NER	118	REAC:R-HSA-5696394	DNA Damage Recognition in GG-NER	95												
			REAC:R-HSA-110329	Cleavage of the damaged pyrimidine 	107															
			REAC:R-HSA-73928	Depyrimidination	109															
			REAC:R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	111															
			REAC:R-HSA-73929	Base-Excision Repair, AP Site Formation	113															
			REAC:R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine	119															
			REAC:R-HSA-110331	Cleavage of the damaged purine	120															
			REAC:R-HSA-73927	Depurination	121															
			REAC:R-HSA-171306	Packaging Of Telomere Ends	132															
			REAC:R-HSA-110312	Translesion synthesis by REV1	146															
			REAC:R-HSA-5655862	Translesion synthesis by POLK	148															
			REAC:R-HSA-5656121	Translesion synthesis by POLI	149															
			REAC:R-HSA-110320	Translesion Synthesis by POLH	157	REAC:R-HSA-110320	Translesion Synthesis by POLH	165												
REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	1
			REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	38	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	1	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	18									
			REAC:R-HSA-69206	G1/S Transition	41	REAC:R-HSA-69206	G1/S Transition	2	REAC:R-HSA-69206	G1/S Transition	37									
			REAC:R-HSA-69231	Cyclin D associated events in G1	95	REAC:R-HSA-69231	Cyclin D associated events in G1	4	REAC:R-HSA-69231	Cyclin D associated events in G1	4									
			REAC:R-HSA-69236	G1 Phase	96	REAC:R-HSA-69236	G1 Phase	5	REAC:R-HSA-69236	G1 Phase	5									
			REAC:R-HSA-69202	Cyclin E associated events during G1/S transition 	127	REAC:R-HSA-69202	Cyclin E associated events during G1/S transition 	13	REAC:R-HSA-69202	Cyclin E associated events during G1/S transition 	38									
			REAC:R-HSA-1538133	G0 and Early G1	225	REAC:R-HSA-1538133	G0 and Early G1	14	REAC:R-HSA-1538133	G0 and Early G1	49									
			REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	102	REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	15	REAC:R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	24									
			REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	101	REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	16	REAC:R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	25									
			REAC:R-HSA-69205	G1/S-Specific Transcription	142	REAC:R-HSA-69205	G1/S-Specific Transcription	18	REAC:R-HSA-69205	G1/S-Specific Transcription	85									
						REAC:R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	22	REAC:R-HSA-1362277	Transcription of E2F targets under negative control by DREAM complex	132									
						REAC:R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	29	REAC:R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	76									
			REAC:R-HSA-68962	Activation of the pre-replicative complex	34	REAC:R-HSA-68962	Activation of the pre-replicative complex	30												
			REAC:R-HSA-113510	E2F mediated regulation of DNA replication	114	REAC:R-HSA-113510	E2F mediated regulation of DNA replication	33	REAC:R-HSA-113510	E2F mediated regulation of DNA replication	189									
			REAC:R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	213	REAC:R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	47	REAC:R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	126									
			REAC:R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	135	REAC:R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	142	REAC:R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	223									
REAC:R-HSA-74160	Gene expression (Transcription)	1
			REAC:R-HSA-74160	Gene expression (Transcription)	84	REAC:R-HSA-74160	Gene expression (Transcription)	8	REAC:R-HSA-74160	Gene expression (Transcription)	1									
			REAC:R-HSA-73857	RNA Polymerase II Transcription	77	REAC:R-HSA-73857	RNA Polymerase II Transcription	7	REAC:R-HSA-73857	RNA Polymerase II Transcription	2									
			REAC:R-HSA-212436	Generic Transcription Pathway	72	REAC:R-HSA-212436	Generic Transcription Pathway	3	REAC:R-HSA-212436	Generic Transcription Pathway	3	REAC:R-HSA-212436	Generic Transcription Pathway	217						
			REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	203	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	156	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	128							REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	7
						REAC:R-HSA-9022692	Regulation of MECP2 expression and activity	186	REAC:R-HSA-9022692	Regulation of MECP2 expression and activity	110							REAC:R-HSA-9022692	Regulation of MECP2 expression and activity	8
						REAC:R-HSA-8953750	Transcriptional Regulation by E2F6	10	REAC:R-HSA-8953750	Transcriptional Regulation by E2F6	253									
																		REAC:R-HSA-203927	MicroRNA (miRNA) biogenesis	11
						REAC:R-HSA-8986944	Transcriptional Regulation by MECP2	241	REAC:R-HSA-8986944	Transcriptional Regulation by MECP2	121							REAC:R-HSA-8986944	Transcriptional Regulation by MECP2	14
			REAC:R-HSA-3700989	Transcriptional Regulation by TP53	35	REAC:R-HSA-3700989	Transcriptional Regulation by TP53	31	REAC:R-HSA-3700989	Transcriptional Regulation by TP53	15	REAC:R-HSA-3700989	Transcriptional Regulation by TP53	177				REAC:R-HSA-3700989	Transcriptional Regulation by TP53	51
						REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	39	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	16				REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	307			
						REAC:R-HSA-350054	Notch-HLH transcription pathway	234	REAC:R-HSA-350054	Notch-HLH transcription pathway	19									
			REAC:R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	130	REAC:R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	20	REAC:R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	31									
						REAC:R-HSA-8878159	Transcriptional regulation by RUNX3	86	REAC:R-HSA-8878159	Transcriptional regulation by RUNX3	21									
						REAC:R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	32	REAC:R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	23				REAC:R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	305			
						REAC:R-HSA-8853884	Transcriptional Regulation by VENTX	136	REAC:R-HSA-8853884	Transcriptional Regulation by VENTX	299	REAC:R-HSA-8853884	Transcriptional Regulation by VENTX	204				REAC:R-HSA-8853884	Transcriptional Regulation by VENTX	23
																		REAC:R-HSA-5628897	TP53 Regulates Metabolic Genes	25
			REAC:R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	210	REAC:R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	28	REAC:R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	203									
			REAC:R-HSA-167172	Transcription of the HIV genome	224				REAC:R-HSA-167172	Transcription of the HIV genome	30									
			REAC:R-HSA-8878166	Transcriptional regulation by RUNX2	198	REAC:R-HSA-8878166	Transcriptional regulation by RUNX2	59	REAC:R-HSA-8878166	Transcriptional regulation by RUNX2	35	REAC:R-HSA-8878166	Transcriptional regulation by RUNX2	166						
																		REAC:R-HSA-211000	Gene Silencing by RNA	35
						REAC:R-HSA-9614085	FOXO-mediated transcription	36	REAC:R-HSA-9614085	FOXO-mediated transcription	77	REAC:R-HSA-9614085	FOXO-mediated transcription	116						
									REAC:R-HSA-674695	RNA Polymerase II Pre-transcription Events	36									
						REAC:R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	40	REAC:R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	74	REAC:R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	150						
			REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	73	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	208	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	40									
									REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	41									
			REAC:R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	188	REAC:R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	42	REAC:R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	97									
			REAC:R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	176				REAC:R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	42									
						REAC:R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	48												
			REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	49	REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	176	REAC:R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	216									
						REAC:R-HSA-9617828	FOXO-mediated transcription of cell cycle genes	50	REAC:R-HSA-9617828	FOXO-mediated transcription of cell cycle genes	109									
			REAC:R-HSA-75953	RNA Polymerase II Transcription Initiation	182				REAC:R-HSA-75953	RNA Polymerase II Transcription Initiation	50									
			REAC:R-HSA-167161	HIV Transcription Initiation	185				REAC:R-HSA-167161	HIV Transcription Initiation	51									
			REAC:R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	184				REAC:R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	52									
			REAC:R-HSA-5633007	Regulation of TP53 Activity	53	REAC:R-HSA-5633007	Regulation of TP53 Activity	74	REAC:R-HSA-5633007	Regulation of TP53 Activity	119									
			REAC:R-HSA-73776	RNA Polymerase II Promoter Escape	183				REAC:R-HSA-73776	RNA Polymerase II Promoter Escape	53									
									REAC:R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	270							REAC:R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	53
			REAC:R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	187				REAC:R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	54									
			REAC:R-HSA-167162	RNA Polymerase II HIV Promoter Escape	186				REAC:R-HSA-167162	RNA Polymerase II HIV Promoter Escape	55									
						REAC:R-HSA-8941856	RUNX3 regulates NOTCH signaling	260	REAC:R-HSA-8941856	RUNX3 regulates NOTCH signaling	57									
			REAC:R-HSA-112382	Formation of RNA Pol II elongation complex 	208				REAC:R-HSA-112382	Formation of RNA Pol II elongation complex 	58									
			REAC:R-HSA-75955	RNA Polymerase II Transcription Elongation	209				REAC:R-HSA-75955	RNA Polymerase II Transcription Elongation	59									
			REAC:R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	170				REAC:R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	60									
			REAC:R-HSA-167200	Formation of HIV-1 elongation complex containing HIV-1 Tat	171				REAC:R-HSA-167200	Formation of HIV-1 elongation complex containing HIV-1 Tat	61									
						REAC:R-HSA-8878171	Transcriptional regulation by RUNX1	62	REAC:R-HSA-8878171	Transcriptional regulation by RUNX1	107							REAC:R-HSA-8878171	Transcriptional regulation by RUNX1	72
			REAC:R-HSA-167169	HIV Transcription Elongation	169				REAC:R-HSA-167169	HIV Transcription Elongation	62									
			REAC:R-HSA-113418	Formation of the Early Elongation Complex	154	REAC:R-HSA-113418	Formation of the Early Elongation Complex	249	REAC:R-HSA-113418	Formation of the Early Elongation Complex	67									
																		REAC:R-HSA-6803205	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	67
			REAC:R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	153	REAC:R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	248	REAC:R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	68									
									REAC:R-HSA-6807505	RNA polymerase II transcribes snRNA genes	69									
						REAC:R-HSA-4655427	SUMOylation of DNA methylation proteins	71												
						REAC:R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	76	REAC:R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	158									
			REAC:R-HSA-73762	RNA Polymerase I Transcription Initiation	126	REAC:R-HSA-73762	RNA Polymerase I Transcription Initiation	105	REAC:R-HSA-73762	RNA Polymerase I Transcription Initiation	78									
			REAC:R-HSA-212165	Epigenetic regulation of gene expression	199	REAC:R-HSA-212165	Epigenetic regulation of gene expression	80	REAC:R-HSA-212165	Epigenetic regulation of gene expression	142									
			REAC:R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	139	REAC:R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	231	REAC:R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	80									
						REAC:R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	81	REAC:R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	165									
			REAC:R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	140	REAC:R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	230	REAC:R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	81									
									REAC:R-HSA-383280	Nuclear Receptor transcription pathway	83									
			REAC:R-HSA-72086	mRNA Capping	144	REAC:R-HSA-72086	mRNA Capping	233	REAC:R-HSA-72086	mRNA Capping	86									
												REAC:R-HSA-5633008	TP53 Regulates Transcription of Cell Death Genes	89						
						REAC:R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	149	REAC:R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	91				REAC:R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	270			
						REAC:R-HSA-8941326	RUNX2 regulates bone development	187	REAC:R-HSA-8941326	RUNX2 regulates bone development	94				REAC:R-HSA-8941326	RUNX2 regulates bone development	281			
			REAC:R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	221	REAC:R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	96												
			REAC:R-HSA-6804757	Regulation of TP53 Degradation	97	REAC:R-HSA-6804757	Regulation of TP53 Degradation	107	REAC:R-HSA-6804757	Regulation of TP53 Degradation	135									
			REAC:R-HSA-6806003	Regulation of TP53 Expression and Degradation	98	REAC:R-HSA-6806003	Regulation of TP53 Expression and Degradation	109	REAC:R-HSA-6806003	Regulation of TP53 Expression and Degradation	138									
						REAC:R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	242	REAC:R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	99									
						REAC:R-HSA-9005895	Pervasive developmental disorders	245	REAC:R-HSA-9005895	Pervasive developmental disorders	100									
						REAC:R-HSA-9675151	Disorders of Developmental Biology	243	REAC:R-HSA-9675151	Disorders of Developmental Biology	101									
						REAC:R-HSA-9697154	Disorders of Nervous System Development	244	REAC:R-HSA-9697154	Disorders of Nervous System Development	102									
									REAC:R-HSA-76046	RNA Polymerase III Transcription Initiation	106									
						REAC:R-HSA-9614657	FOXO-mediated transcription of cell death genes	119	REAC:R-HSA-9614657	FOXO-mediated transcription of cell death genes	241	REAC:R-HSA-9614657	FOXO-mediated transcription of cell death genes	107						
												REAC:R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	109						
												REAC:R-HSA-6803207	TP53 Regulates Transcription of Caspase Activators and Caspases	113						
									REAC:R-HSA-74158	RNA Polymerase III Transcription	115									
									REAC:R-HSA-749476	RNA Polymerase III Abortive And Retractive Initiation	116									
						REAC:R-HSA-8866910	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	118							REAC:R-HSA-8866910	TFAP2 (AP-2) family regulates transcription of growth factors and their receptors	258			
						REAC:R-HSA-6804758	Regulation of TP53 Activity through Acetylation	121	REAC:R-HSA-6804758	Regulation of TP53 Activity through Acetylation	186									
									REAC:R-HSA-8940973	RUNX2 regulates osteoblast differentiation	125				REAC:R-HSA-8940973	RUNX2 regulates osteoblast differentiation	251			
			REAC:R-HSA-73863	RNA Polymerase I Transcription Termination	150	REAC:R-HSA-73863	RNA Polymerase I Transcription Termination	240	REAC:R-HSA-73863	RNA Polymerase I Transcription Termination	127									
						REAC:R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	129	REAC:R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	145	REAC:R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	181						
						REAC:R-HSA-9614399	Regulation of localization of FOXO transcription factors	178	REAC:R-HSA-9614399	Regulation of localization of FOXO transcription factors	263	REAC:R-HSA-9614399	Regulation of localization of FOXO transcription factors	134						
									REAC:R-HSA-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	137									
			REAC:R-HSA-73854	RNA Polymerase I Promoter Clearance	175	REAC:R-HSA-73854	RNA Polymerase I Promoter Clearance	143	REAC:R-HSA-73854	RNA Polymerase I Promoter Clearance	153									
			REAC:R-HSA-73864	RNA Polymerase I Transcription	178	REAC:R-HSA-73864	RNA Polymerase I Transcription	144	REAC:R-HSA-73864	RNA Polymerase I Transcription	155									
									REAC:R-HSA-167287	HIV elongation arrest and recovery	149									
									REAC:R-HSA-167290	Pausing and recovery of HIV elongation	150									
			REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	156	REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	164	REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	246									
									REAC:R-HSA-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	160									
			REAC:R-HSA-6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	163				REAC:R-HSA-6804115	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	297									
			REAC:R-HSA-5250941	Negative epigenetic regulation of rRNA expression	211	REAC:R-HSA-5250941	Negative epigenetic regulation of rRNA expression	194	REAC:R-HSA-5250941	Negative epigenetic regulation of rRNA expression	168									
			REAC:R-HSA-427413	NoRC negatively regulates rRNA expression	207	REAC:R-HSA-427413	NoRC negatively regulates rRNA expression	188	REAC:R-HSA-427413	NoRC negatively regulates rRNA expression	176									
						REAC:R-HSA-8939902	Regulation of RUNX2 expression and activity	181	REAC:R-HSA-8939902	Regulation of RUNX2 expression and activity	235	REAC:R-HSA-8939902	Regulation of RUNX2 expression and activity	199						
						REAC:R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	183												
						REAC:R-HSA-5250913	Positive epigenetic regulation of rRNA expression	184	REAC:R-HSA-5250913	Positive epigenetic regulation of rRNA expression	300									
									REAC:R-HSA-167243	Tat-mediated HIV elongation arrest and recovery	185									
									REAC:R-HSA-167238	Pausing and recovery of Tat-mediated HIV elongation	187									
												REAC:R-HSA-6803211	TP53 Regulates Transcription of Death Receptors and Ligands	189						
												REAC:R-HSA-9755779	SARS-CoV-2 targets host intracellular signalling and regulatory pathways	191						
						REAC:R-HSA-9022699	MECP2 regulates neuronal receptors and channels	195	REAC:R-HSA-9022699	MECP2 regulates neuronal receptors and channels	281									
						REAC:R-HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	258				REAC:R-HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	200						
			REAC:R-HSA-73772	RNA Polymerase I Promoter Escape	216				REAC:R-HSA-73772	RNA Polymerase I Promoter Escape	214									
									REAC:R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	222									
						REAC:R-HSA-212300	PRC2 methylates histones and DNA	223												
									REAC:R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	243									
									REAC:R-HSA-8941858	Regulation of RUNX3 expression and activity	266									
									REAC:R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	302									
REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1
												REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	1	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	289			
												REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	2						
												REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	3						
												REAC:R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	11						
												REAC:R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	12						
												REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	13	REAC:R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	302			
												REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	14	REAC:R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	299			
												REAC:R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation  	24						
												REAC:R-HSA-450294	MAP kinase activation	35						
