Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	cluster_1 term rank	cluster_2 term rank	cluster_3 term rank	cluster_4 term rank	cluster_5 term rank	cluster_6 term rank
REAC:R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	13	114	1	None	None	None	None	114	None
REAC:R-HSA-8848021	Signaling by PTK6	51	125	2	None	125	201	None	168	None
REAC:R-HSA-195721	Signaling by WNT	328	128	2	128	139	None	167	None	None
REAC:R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	51	130	1	None	130	None	None	None	None
REAC:R-HSA-2564830	Cytosolic iron-sulfur cluster assembly	13	136	1	136	None	None	None	None	None
REAC:R-HSA-351202	Metabolism of polyamines	58	137	1	None	137	None	None	None	None
REAC:R-HSA-5578768	Physiological factors	12	139	1	None	None	139	None	None	None
REAC:R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	142	1	None	205	None	142	None	None
REAC:R-HSA-5610783	Degradation of GLI2 by the proteasome	60	143	1	None	204	None	143	None	None
REAC:R-HSA-5358351	Signaling by Hedgehog	149	144	6	None	203	144	160	None	None
REAC:R-HSA-450604	KSRP (KHSRP) binds and destabilizes mRNA	17	147	1	147	None	None	None	None	None
REAC:R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	26	150	1	None	None	None	None	150	None
REAC:R-HSA-1852241	Organelle biogenesis and maintenance	294	152	4	152	None	None	None	235	None
REAC:R-HSA-9613829	Chaperone Mediated Autophagy	22	157	1	None	None	None	157	None	None
REAC:R-HSA-9620244	Long-term potentiation	21	159	1	None	None	None	None	159	None
REAC:R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	40	164	1	None	None	164	None	None	None
REAC:R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	53	180	1	None	None	180	None	None	None
REAC:R-HSA-9617324	Negative regulation of NMDA receptor-mediated neuronal transmission	20	180	1	None	None	None	None	180	None
REAC:R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	20	181	1	None	None	None	None	181	None
REAC:R-HSA-1474151	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	10	182	1	227	None	None	182	None	None
REAC:R-HSA-203615	eNOS activation	11	188	1	None	None	None	188	None	None
REAC:R-HSA-438064	Post NMDA receptor activation events	76	192	1	None	None	None	None	192	None
REAC:R-HSA-196757	Metabolism of folate and pterines	16	203	1	None	None	None	203	None	None
REAC:R-HSA-202131	Metabolism of nitric oxide: NOS3 activation and regulation	15	209	1	None	None	None	209	None	None
REAC:R-HSA-9646399	Aggrephagy	44	210	1	None	None	None	210	None	None
REAC:R-HSA-8957322	Metabolism of steroids	152	212	6	228	None	212	None	None	None
REAC:R-HSA-442755	Activation of NMDA receptors and postsynaptic events	89	213	2	None	None	None	None	213	None
REAC:R-HSA-9663891	Selective autophagy	80	215	1	None	None	None	215	None	None
REAC:R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	16	225	1	None	None	None	None	225	None
REAC:R-HSA-917937	Iron uptake and transport	57	239	1	None	239	None	None	None	None
REAC:R-HSA-2028269	Signaling by Hippo	19	247	1	None	None	247	None	273	None
REAC:R-HSA-556833	Metabolism of lipids	732	252	1	None	None	252	None	None	None
REAC:R-HSA-416476	G alpha (q) signalling events	212	272	1	None	None	None	None	272	None
REAC:R-HSA-211976	Endogenous sterols	26	273	1	None	None	273	None	None	None
REAC:R-HSA-451306	Ionotropic activity of kainate receptors	10	276	2	None	None	None	None	276	None
REAC:R-HSA-372790	Signaling by GPCR	696	280	4	None	None	None	None	280	None
