Representing term id	Representing term name	Representing term rank	93932 term id	93932 term name	93932 term rank	920 term id	920 term name	920 term rank	909 term id	909 term name	909 term rank	904 term id	904 term name	904 term rank	90348 term id	90348 term name	90348 term rank	90324 term id	90324 term name	90324 term rank	90322 term id	90322 term name	90322 term rank	90321 term id	90321 term name	90321 term rank	902 term id	902 term name	902 term rank	90154 term id	90154 term name	90154 term rank	90153 term id	90153 term name	90153 term rank	897 term id	897 term name	897 term rank	895 term id	895 term name	895 term rank	894 term id	894 term name	894 term rank	808 term id	808 term name	808 term rank	79477 term id	79477 term name	79477 term rank	79476 term id	79476 term name	79476 term rank	79474 term id	79474 term name	79474 term rank	79333 term id	79333 term name	79333 term rank	79325 term id	79325 term name	79325 term rank	79087 term id	79087 term name	79087 term rank	769 term id	769 term name	769 term rank	758 term id	758 term name	758 term rank	75496 term id	75496 term name	75496 term rank	740 term id	740 term name	740 term rank	633 term id	633 term name	633 term rank	500 term id	500 term name	500 term rank	498359 term id	498359 term name	498359 term rank	487825 term id	487825 term name	487825 term rank	477 term id	477 term name	477 term rank	435628 term id	435628 term name	435628 term rank	412057 term id	412057 term name	412057 term rank	363618 term id	363618 term name	363618 term rank	357074 term id	357074 term name	357074 term rank	3455 term id	3455 term name	3455 term rank	3437 term id	3437 term name	3437 term rank	33445 term id	33445 term name	33445 term rank	33364 term id	33364 term name	33364 term rank	3322 term id	3322 term name	3322 term rank	3163 term id	3163 term name	3163 term rank	3051 term id	3051 term name	3051 term rank	2963 term id	2963 term name	2963 term rank	287 term id	287 term name	287 term rank	286 term id	286 term name	286 term rank	2834 term id	2834 term name	2834 term rank	280679 term id	280679 term name	280679 term rank	280365 term id	280365 term name	280365 term rank	2658 term id	2658 term name	2658 term rank	263534 term id	263534 term name	263534 term rank	263487 term id	263487 term name	263487 term rank	2500 term id	2500 term name	2500 term rank	220295 term id	220295 term name	220295 term rank	2078 term id	2078 term name	2078 term rank	2067 term id	2067 term name	2067 term rank	1942 term id	1942 term name	1942 term rank	1901 term id	1901 term name	1901 term rank	1860 term id	1860 term name	1860 term rank	1807 term id	1807 term name	1807 term rank	1775 term id	1775 term name	1775 term rank	163746 term id	163746 term name	163746 term rank	1387 term id	1387 term name	1387 term rank	137608 term id	137608 term name	137608 term rank	1340 term id	1340 term name	1340 term rank	1299 term id	1299 term name	1299 term rank	1297 term id	1297 term name	1297 term rank	101028 term id	101028 term name	101028 term rank	100 term id	100 term name	100 term rank
																																																																																													REAC:R-HSA-392170	ADP signalling through P2Y purinoceptor 12	14																																																																																																												
																																																																																													REAC:R-HSA-428930	Thromboxane signalling through TP receptor	15																																																																																																												
																																																																																	REAC:R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	336										REAC:R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	21																																																																																														REAC:R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	353												
									REAC:R-HSA-430116	GP1b-IX-V activation signalling	44																																																	REAC:R-HSA-430116	GP1b-IX-V activation signalling	22																			REAC:R-HSA-430116	GP1b-IX-V activation signalling	208																																														REAC:R-HSA-430116	GP1b-IX-V activation signalling	142	REAC:R-HSA-430116	GP1b-IX-V activation signalling	163																			REAC:R-HSA-430116	GP1b-IX-V activation signalling	163																																		REAC:R-HSA-430116	GP1b-IX-V activation signalling	212												
																																																																																													REAC:R-HSA-418592	ADP signalling through P2Y purinoceptor 1	27																																																																																																												
REAC:R-HSA-212436	Generic Transcription Pathway	1
						REAC:R-HSA-212436	Generic Transcription Pathway	1							REAC:R-HSA-212436	Generic Transcription Pathway	214	REAC:R-HSA-212436	Generic Transcription Pathway	8	REAC:R-HSA-212436	Generic Transcription Pathway	57	REAC:R-HSA-212436	Generic Transcription Pathway	57	REAC:R-HSA-212436	Generic Transcription Pathway	61	REAC:R-HSA-212436	Generic Transcription Pathway	162	REAC:R-HSA-212436	Generic Transcription Pathway	72							REAC:R-HSA-212436	Generic Transcription Pathway	1	REAC:R-HSA-212436	Generic Transcription Pathway	47	REAC:R-HSA-212436	Generic Transcription Pathway	2	REAC:R-HSA-212436	Generic Transcription Pathway	2	REAC:R-HSA-212436	Generic Transcription Pathway	70	REAC:R-HSA-212436	Generic Transcription Pathway	123				REAC:R-HSA-212436	Generic Transcription Pathway	259	REAC:R-HSA-212436	Generic Transcription Pathway	223							REAC:R-HSA-212436	Generic Transcription Pathway	70	REAC:R-HSA-212436	Generic Transcription Pathway	234	REAC:R-HSA-212436	Generic Transcription Pathway	190				REAC:R-HSA-212436	Generic Transcription Pathway	1										REAC:R-HSA-212436	Generic Transcription Pathway	70							REAC:R-HSA-212436	Generic Transcription Pathway	216	REAC:R-HSA-212436	Generic Transcription Pathway	2	REAC:R-HSA-212436	Generic Transcription Pathway	3	REAC:R-HSA-212436	Generic Transcription Pathway	45	REAC:R-HSA-212436	Generic Transcription Pathway	247	REAC:R-HSA-212436	Generic Transcription Pathway	1	REAC:R-HSA-212436	Generic Transcription Pathway	264	REAC:R-HSA-212436	Generic Transcription Pathway	256	REAC:R-HSA-212436	Generic Transcription Pathway	245				REAC:R-HSA-212436	Generic Transcription Pathway	131	REAC:R-HSA-212436	Generic Transcription Pathway	70	REAC:R-HSA-212436	Generic Transcription Pathway	82	REAC:R-HSA-212436	Generic Transcription Pathway	10	REAC:R-HSA-212436	Generic Transcription Pathway	123	REAC:R-HSA-212436	Generic Transcription Pathway	245	REAC:R-HSA-212436	Generic Transcription Pathway	45	REAC:R-HSA-212436	Generic Transcription Pathway	267													REAC:R-HSA-212436	Generic Transcription Pathway	1	REAC:R-HSA-212436	Generic Transcription Pathway	68	REAC:R-HSA-212436	Generic Transcription Pathway	1				REAC:R-HSA-212436	Generic Transcription Pathway	60	REAC:R-HSA-212436	Generic Transcription Pathway	182	REAC:R-HSA-212436	Generic Transcription Pathway	2	REAC:R-HSA-212436	Generic Transcription Pathway	1	REAC:R-HSA-212436	Generic Transcription Pathway	55	REAC:R-HSA-212436	Generic Transcription Pathway	61
						REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	21										REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	39																						REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	5				REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	35	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	35													REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	249													REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	202				REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	7																						REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	35	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	30				REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	252	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	8	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	219																			REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	25										REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	256													REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	21				REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	21							REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	206	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	26	REAC:R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	37						
						REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	7																																		REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	167																																											REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	170																									REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	218							REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	174																																																	REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	7				REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	57										REAC:R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	137									
																		REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	147	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	82	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	82	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	81	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	128	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	85										REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	85	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	199	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	199	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	83																			REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	83										REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	240										REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	83										REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	199	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	7	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	72				REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	199																REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	83													REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	68																			REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	84	REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	187				REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	91							REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	186				REAC:R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	81
			REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	258	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	180				REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	221	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	226	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	129																REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	230	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	221	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	89				REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	132	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	132										REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	225	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	260													REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	304	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	260	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	89	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	263													REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	233				REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	132	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	162				REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	259	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	94	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	229	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	214	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	240										REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	7							REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	240	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	147	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	263							REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	251	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	203	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	180				REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	83							REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	311	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	145	REAC:R-HSA-8934593	Regulation of RUNX1 Expression and Activity	135						
