Cluster	HPO ID	Phenotype	p-value	Corrected p-value	Nb diseases cluster	Nb diseases pheno	intersection	background	diseases intersection
1	HP:0001000	Abnormality of skin pigmentation	7.219843514146163e-07	8.952605957541242e-05	14	403	9	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Ataxia-telangiectasia', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0000855	Insulin resistance	8.484347363733912e-07	9.643874836777544e-05	14	60	5	4262	{'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome'}
1	HP:0011121	Abnormality of skin morphology	1.83381938657472e-06	0.0001924099725606	14	1663	14	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0004361	Abnormal circulating leptin concentration	3.3419791430703484e-06	0.0002681446794792	14	10	3	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0100578	Lipoatrophy	3.1956042870456592e-06	0.0002681446794792	14	34	4	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0005599	Hypopigmentation of hair	3.1761354125982984e-06	0.0002681446794792	14	78	5	4262	{'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0100679	Lack of skin elasticity	2.8249764272747324e-06	0.0002681446794792	14	33	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'Werner syndrome'}
1	HP:0100678	Premature skin wrinkling	4.043641006300428e-06	0.0003064181295885	14	36	4	4262	{'Hoyeraal-Hreidarsson syndrome', 'Hutchinson-Gilford progeria syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000951	Abnormality of the skin	5.038096816958408e-06	0.0003616823188595	14	1787	14	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0001034	Hypermelanotic macule	7.216074347398983e-06	0.0004921362704926	14	92	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Ataxia-telangiectasia', 'Cockayne syndrome type 2', 'Dyskeratosis congenita'}
1	HP:0006334	Hypoplasia of the primary teeth	1.0021815620398292e-05	0.000594337239401	14	2	2	4262	{'Cockayne syndrome type 1', 'Cockayne syndrome type 2'}
1	HP:0006313	Widely spaced primary teeth	1.0021815620398292e-05	0.000594337239401	14	2	2	4262	{'Cockayne syndrome type 1', 'Cockayne syndrome type 2'}
1	HP:0000905	Progressive clavicular acroosteolysis	1.0021815620398292e-05	0.000594337239401	14	2	2	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome'}
1	HP:0011362	Abnormal hair quantity	1.0709892598357856e-05	0.0006086788960066	14	553	9	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Seckel syndrome', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0008070	Sparse hair	1.2604973918779496e-05	0.0006877273770086	14	182	6	4262	{'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Seckel syndrome', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0000418	Narrow nasal ridge	3.000898592812221e-05	0.0015743175694599	14	3	2	4262	{'Hutchinson-Gilford progeria syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0100585	Telangiectasia of the skin	3.645766882172045e-05	0.001841787417512	14	62	4	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Ataxia-telangiectasia', 'Dyskeratosis congenita'}
1	HP:0009125	Lipodystrophy	4.399696062723295e-05	0.0021432805105552	14	65	4	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000331	Short chin	4.809343946739272e-05	0.0021476436927547	14	23	3	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Cockayne syndrome type 2'}
1	HP:0007400	Irregular hyperpigmentation	4.88100839262434e-05	0.0021476436927547	14	136	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Ataxia-telangiectasia', 'Cockayne syndrome type 2', 'Dyskeratosis congenita'}
1	HP:0000444	Convex nasal ridge	4.674685513841269e-05	0.0021476436927547	14	66	4	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'Werner syndrome', 'Seckel syndrome'}
1	HP:0012733	Macule	5.056792803261434e-05	0.0021554579323901	14	137	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Ataxia-telangiectasia', 'Cockayne syndrome type 2', 'Dyskeratosis congenita'}
1	HP:0000869	Secondary amenorrhea	5.485733942340511e-05	0.0022674366961674	14	24	3	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0001870	Acroosteolysis of distal phalanges (feet)	5.990526872815866e-05	0.0023345939012916	14	4	2	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0007618	Subcutaneous calcification	5.990526872815866e-05	0.0023345939012916	14	4	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0001595	Abnormal hair morphology	6.808491341181824e-05	0.00257966171927	14	893	10	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0004334	Dermal atrophy	7.350831087503809e-05	0.0027098739468527	14	74	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Hutchinson-Gilford progeria syndrome', 'Hoyeraal-Hreidarsson syndrome'}
1	HP:0002797	Osteolysis	8.165327782420327e-05	0.002930922919795	14	76	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0001677	Coronary artery atherosclerosis	0.0001087654623987	0.0034117648457041	14	30	3	4262	{'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000008	Abnormal morphology of female internal genitalia	0.0001096030650513	0.0034117648457041	14	266	6	4262	{'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0002745	Oral leukoplakia	9.965463987860638e-05	0.0034117648457041	14	5	2	4262	{'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0009804	Tooth agenesis	0.0001034006970674	0.0034117648457041	14	159	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Cockayne syndrome type 2', 'Seckel syndrome', 'Dyskeratosis congenita'}
1	HP:0002514	Cerebral calcification	0.0001100569305065	0.0034117648457041	14	82	4	4262	{'Hoyeraal-Hreidarsson syndrome', 'Cockayne syndrome type 1', 'Cockayne syndrome type 2', 'Dyskeratosis congenita'}
1	HP:0000818	Abnormality of the endocrine system	0.000105402704091	0.0034117648457041	14	937	10	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0001635	Congestive heart failure	0.0001130516500205	0.0034267211250673	14	162	5	4262	{'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome'}
1	HP:0100615	Ovarian neoplasm	0.0001453145417882	0.0042398033982642	14	33	3	4262	{'Atypical Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Werner syndrome'}
1	HP:0009839	Osteolytic defects of the distal phalanges of the hand	0.0001492012926075	0.0042398033982642	14	6	2	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Hutchinson-Gilford progeria syndrome'}
1	HP:0000680	Delayed eruption of primary teeth	0.0001492012926075	0.0042398033982642	14	6	2	4262	{'Cockayne syndrome type 1', 'Cockayne syndrome type 2'}
1	HP:0001009	Telangiectasia	0.0001653246454045	0.0046020982924856	14	91	4	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Ataxia-telangiectasia', 'Dyskeratosis congenita'}
1	HP:0001596	Alopecia	0.0001816410186742	0.0049551669894323	14	179	5	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Dyskeratosis congenita'}
1	HP:0003077	Hyperlipidemia	0.0001875624447405	0.0050163759730616	14	94	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0003292	Decreased serum leptin	0.0002084896368316	0.0054688435507384	14	7	2	4262	{'Hutchinson-Gilford progeria syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0006481	Abnormality of primary teeth	0.0002225119052627	0.0057265328071401	14	38	3	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Cockayne syndrome type 2'}
1	HP:0000135	Hypogonadism	0.0002528698722196	0.0063873056612509	14	192	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Werner syndrome'}
1	HP:0001510	Growth delay	0.0002628450460363	0.0065185571417004	14	1290	11	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0004382	Mitral valve calcification	0.0002774642984768	0.0066396719846034	14	8	2	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0004380	Aortic valve calcification	0.0002774642984768	0.0066396719846034	14	8	2	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome'}
1	HP:0100031	Neoplasm of the thyroid gland	0.0003004576811769	0.0070659358125061	14	42	3	4262	{'Atypical Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Werner syndrome'}
1	HP:0000822	Hypertension	0.0003063063823369	0.0070813882289424	14	200	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0001650	Aortic valve stenosis	0.0003223649725431	0.007328430375814	14	43	3	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000674	Anodontia	0.0003560701188002	0.0079619613449755	14	9	2	4262	{'Cockayne syndrome type 1', 'Cockayne syndrome type 2'}
1	HP:0100013	Neoplasm of the breast	0.0003692256757373	0.0079940289159643	14	45	3	4262	{'Atypical Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Werner syndrome'}
1	HP:0002860	Squamous cell carcinoma	0.0003692256757373	0.0079940289159643	14	45	3	4262	{'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0002211	White forelock	0.0004442521537145	0.0094681240260406	14	10	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0000275	Narrow face	0.000505062107835	0.0105985340782611	14	50	3	4262	{'Atypical Werner syndrome', 'Seckel syndrome', 'Werner syndrome'}
1	HP:0003777	Pili torti	0.0005419556731136	0.0110332468377166	14	11	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0006739	Squamous cell carcinoma of the skin	0.0005419556731136	0.0110332468377166	14	11	2	4262	{'Xeroderma pigmentosum-Cockayne syndrome complex', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0009726	Renal neoplasm	0.0005672733224456	0.0112139248089257	14	52	3	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000963	Thin skin	0.0005672733224456	0.0112139248089257	14	52	3	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0032263	Increased blood pressure	0.0005872355929906	0.0114427049834185	14	230	5	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0100545	Arterial stenosis	0.0006694958285808	0.0128618635237225	14	55	3	4262	{'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0002664	Neoplasm	0.0006956570367058	0.0131788360842611	14	714	8	4262	{'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0000518	Cataract	0.0007266502087619	0.0135271142959187	14	375	6	4262	{'Cockayne syndrome type 1', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Werner syndrome', 'Dyskeratosis congenita'}
1	HP:0005978	Type II diabetes mellitus	0.0007437929414911	0.0135271142959187	14	57	3	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Ataxia-telangiectasia'}
1	HP:0002155	Hypertriglyceridemia	0.0007437929414911	0.0135271142959187	14	57	3	4262	{'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000819	Diabetes mellitus	0.0007711184951601	0.013659813342837	14	244	5	4262	{'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome', 'Dyskeratosis congenita'}
1	HP:0010721	Abnormal hair whorl	0.0007657093108163	0.013659813342837	14	13	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0000934	Chondrocalcinosis	0.0008916510327718	0.0155924616500101	14	14	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0002209	Sparse scalp hair	0.0009520851482229	0.0164385334452671	14	62	3	4262	{'Hoyeraal-Hreidarsson syndrome', 'Seckel syndrome', 'Werner syndrome'}
1	HP:0005374	Cellular immunodeficiency	0.0010268974451804	0.0175086014403261	14	15	2	4262	{'Ataxia-telangiectasia', 'Dyskeratosis congenita'}
1	HP:0008069	Neoplasm of the skin	0.0011482482143481	0.0193359328934677	14	151	4	4262	{'Atypical Werner syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0004414	Abnormality of the pulmonary artery	0.001301131318033	0.0216432087536233	14	69	3	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0004325	Decreased body weight	0.0014033102702018	0.0230616290187388	14	790	8	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome'}
1	HP:0000499	Abnormal eyelash morphology	0.001425987511736	0.0231553210239038	14	160	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Dyskeratosis congenita'}
1	HP:0002858	Meningioma	0.0014879291718371	0.0238768869457154	14	18	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0000889	Abnormal clavicle morphology	0.0015325732922647	0.0243073252401059	14	73	3	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome'}
1	HP:0100833	Neoplasm of the small intestine	0.0016598597399942	0.0254387492736192	14	19	2	4262	{'Atypical Werner syndrome', 'Werner syndrome'}
1	HP:0007394	Prominent superficial blood vessels	0.0016598597399942	0.0254387492736192	14	19	2	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome'}
1	HP:0000561	Absent eyelashes	0.0016598597399942	0.0254387492736192	14	19	2	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0004349	Reduced bone mineral density	0.0017183751832802	0.0260429305554916	14	291	5	4262	{'Hutchinson-Gilford progeria syndrome', 'Atypical Werner syndrome', 'Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0003119	Abnormal circulating lipid concentration	0.0019894111099572	0.0296092745819454	14	175	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0008404	Nail dystrophy	0.0019971064967294	0.0296092745819454	14	80	3	4262	{'Hoyeraal-Hreidarsson syndrome', 'Hutchinson-Gilford progeria syndrome', 'Dyskeratosis congenita'}
1	HP:0000026	Male hypogonadism	0.0020307835463329	0.0297848253462167	14	21	2	4262	{'Cockayne syndrome type 1', 'Cockayne syndrome type 2'}
1	HP:0000929	Abnormal skull morphology	0.0021874771658513	0.0317416899385234	14	1605	11	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0002223	Absent eyebrow	0.0022296717372364	0.0318571109924906	14	22	2	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000164	Abnormality of the dentition	0.0022421427091488	0.0318571109924906	14	643	7	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Seckel syndrome', 'Dyskeratosis congenita'}
1	HP:0000141	Amenorrhea	0.0022981487121571	0.0323162354987867	14	84	3	4262	{'Atypical Werner syndrome', 'Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0011358	Generalized hypopigmentation of hair	0.0024374410989287	0.0335825218074631	14	23	2	4262	{'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0007392	Excessive wrinkled skin	0.0024374410989287	0.0335825218074631	14	23	2	4262	{'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome'}
1	HP:0001633	Abnormal mitral valve morphology	0.0027124989740716	0.0369984860063378	14	89	3	4262	{'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome'}
1	HP:0000078	Abnormality of the genital system	0.0028864416597881	0.038981251722287	14	1110	9	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Cockayne syndrome type 2', 'Ataxia-telangiectasia', 'Werner syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0000287	Increased facial adipose tissue	0.003284842796809	0.0418740707929671	14	1	1	4262	{'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0001544	Prominent umbilicus	0.003284842796809	0.0418740707929671	14	1	1	4262	{'Hutchinson-Gilford progeria syndrome'}
1	HP:0012060	Acral lentiginous melanoma	0.003284842796809	0.0418740707929671	14	1	1	4262	{'Werner syndrome'}
