Unnamed: 0	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	seeds	diseases
6	GO:CC	GO:0098588	bounding membrane of organelle	1.9561816788671752e-22	True	"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]"	2014	141	66	16420	0.4680851063829787	0.0327706057596822	query_1	['GO:0031090']	['RAB10', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'EEA1', 'RAB39A', 'SNAP25', 'PEX16', 'APH1A', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'BACE1', 'NTRK1', 'RAB23', 'NCSTN', 'RAB3A', 'RAB13', 'STX1A', 'SUN2', 'NAT8', 'ABCD2', 'RAB5A', 'PSENEN', 'RAB7A', 'RAB1A', 'APH1B', 'RBSN', 'RAB4A', 'RAB5C', 'OPTN', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'GPAM', 'ABCD3', 'SLC39A4', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'B4GALT7', 'HPS4', 'RILP', 'ABCD1']	['B4GALT7']	['B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome']
1	GO:BP	GO:0015031	protein transport	2.260812219208236e-21	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	142	60	15719	0.4225352112676056	0.0392927308447937	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'RAB5A', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'VAMP2', 'RAB3IL1', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RILP', 'YWHAE']	['RAB3GAP2']	['Cataract-intellectual disability-hypogonadism syndrome']
2	GO:BP	GO:0071705	nitrogen compound transport	2.791048599089467e-21	True	"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	1969	142	67	15719	0.4718309859154929	0.0340274250888776	query_1	['GO:0006810']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'RAB5A', 'ZFP36', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'SLC25A52', 'MECP2', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'VAMP2', 'RAB3IL1', 'PEX19', 'SLC6A8', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'RILP', 'ABCD1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
3	GO:BP	GO:0045184	establishment of protein localization	6.2000485050889765e-21	True	"""The directed movement of a protein to a specific location."" [GOC:bf]"	1636	142	61	15719	0.4295774647887324	0.0372860635696821	query_1	['GO:0008104', 'GO:0051234']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'RAB5A', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'VAMP2', 'RAB3IL1', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'RILP', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
3	REAC	REAC:R-HSA-199991	Membrane Trafficking	9.508175982806196e-21	True	Membrane Trafficking	617	124	44	10022	0.3548387096774194	0.0713128038897893	query_1	['REAC:R-HSA-5653656']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'RIN3', 'RAB5B', 'RAB14', 'RAB8B', 'RAB3A', 'RAB3GAP2', 'RAB13', 'RAB5A', 'RAB7A', 'RAB1A', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'VPS45', 'RAB1B', 'VAMP2', 'RAB3IL1', 'RABGEF1', 'APP', 'HPS4', 'RAB3GAP1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
4	GO:BP	GO:0046907	intracellular transport	1.5010093490892313e-20	True	"""The directed movement of substances within a cell."" [GOC:ai]"	1553	142	59	15719	0.4154929577464789	0.0379909851899549	query_1	['GO:0006810', 'GO:0051641', 'GO:0051649']	['RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'STXBP1', 'SORT1', 'EEA1', 'CHM', 'GDI1', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'RAB13', 'STX1A', 'SUN2', 'ABCD2', 'RAB5A', 'RAB7A', 'RAB1A', 'RBSN', 'HPS1', 'TBC1D17', 'RAB5C', 'RAB3IP', 'SLC25A52', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'ABCD3', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM102', 'RAB1B', 'EHD2', 'VAMP2', 'PEX19', 'HTT', 'RABGEF1', 'PEX3', 'APP', 'HPS4', 'NGFR', 'RILP', 'ABCD1', 'YWHAE']	['RAB3GAP2']	['Cataract-intellectual disability-hypogonadism syndrome']
4	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	1.2152819359397117e-19	True	Vesicle-mediated transport	661	124	44	10022	0.3548387096774194	0.0665658093797276	query_1	['REAC:0000000']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'RIN3', 'RAB5B', 'RAB14', 'RAB8B', 'RAB3A', 'RAB3GAP2', 'RAB13', 'RAB5A', 'RAB7A', 'RAB1A', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RAB3IP', 'RABEP1', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'VPS45', 'RAB1B', 'VAMP2', 'RAB3IL1', 'RABGEF1', 'APP', 'HPS4', 'RAB3GAP1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
5	GO:BP	GO:0070727	cellular macromolecule localization	1.3800740113327103e-19	True	"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	2409	142	71	15719	0.5	0.0294728102947281	query_1	['GO:0033036', 'GO:0051641']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'AURKA', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'ZFP36', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'PIGW', 'RAB3IP', 'RABEP1', 'MECP2', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'ARHGDIA', 'SHROOM3', 'RILP', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
6	GO:BP	GO:0051641	cellular localization	1.483136196454866e-19	True	"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	3251	142	82	15719	0.5774647887323944	0.0252230083051368	query_1	['GO:0009987', 'GO:0051179']	['GDI2', 'RAB10', 'CHML', 'PPFIA3', 'RAB8A', 'GGA3', 'GGA2', 'AURKA', 'STXBP1', 'SORT1', 'EEA1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'SYT1', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'SUN2', 'ABCD2', 'RAB5A', 'ZFP36', 'RAB7A', 'RAB1A', 'RBSN', 'HPS1', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'PIGW', 'RAB3IP', 'RABEP1', 'SLC25A52', 'MECP2', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'ABCD3', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM102', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'PEX19', 'HTT', 'RABGEF1', 'PEX3', 'APP', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'ARHGDIA', 'SHROOM3', 'RILP', 'ABCD1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
7	GO:CC	GO:0005769	early endosome	1.6006717540137487e-19	True	"""A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."" [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]"	397	141	31	16420	0.2198581560283688	0.0780856423173803	query_1	['GO:0005768']	['GGA3', 'GGA2', 'SORT1', 'EEA1', 'APH1A', 'RAB32', 'RAB38', 'RIN3', 'EHD1', 'RAB5B', 'RAB14', 'PSEN1', 'BACE1', 'NTRK1', 'NCSTN', 'RAB5A', 'RAB1A', 'RBSN', 'RAB4A', 'RAB5C', 'PTP4A2', 'RABEP1', 'GGA1', 'RAB31', 'RAB22A', 'EHD3', 'RUFY1', 'EHD2', 'HTT', 'RABGEF1', 'APP']	0	0
8	GO:BP	GO:0033036	macromolecule localization	4.2253092052448724e-19	True	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	2841	142	76	15719	0.5352112676056338	0.0267511439633931	query_1	['GO:0051179']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'OSBPL1A', 'AURKA', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'SUN2', 'ABCD2', 'RAB5A', 'ZFP36', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'PIGW', 'RAB3IP', 'RABEP1', 'MECP2', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'ABCD3', 'SLC27A2', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'ARHGDIA', 'SHROOM3', 'RILP', 'ABCD1', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
7	GO:BP	GO:0008104	protein localization	4.2253092052448724e-19	True	"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]"	2399	142	70	15719	0.4929577464788732	0.0291788245102125	query_1	['GO:0070727']	['GDI2', 'RAB10', 'CHML', 'RAB8A', 'GGA3', 'GGA2', 'AURKA', 'STXBP1', 'SORT1', 'RAB39A', 'CHM', 'GDI1', 'SNAP25', 'PEX16', 'RAB32', 'RAB38', 'RAB6A', 'GOLGA7B', 'EHD1', 'ARHGDIG', 'RAB5B', 'RAB14', 'PSEN1', 'RAB8B', 'RAB23', 'RAB3A', 'RAB3GAP2', 'KTN1', 'RAB13', 'STX1A', 'SUN2', 'RAB5A', 'RAB7A', 'RAB1A', 'RBSN', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'PIGW', 'RAB3IP', 'RABEP1', 'MECP2', 'RAB18', 'GGA1', 'RAB35', 'RAB31', 'RAB22A', 'EHD3', 'VPS45', 'MICALL1', 'TMEM9', 'RAB1B', 'RUFY1', 'RHOG', 'EHD2', 'VAMP2', 'RAB3IL1', 'PEX19', 'RABGEF1', 'PEX3', 'RAB34', 'HPS4', 'APBA3', 'NGFR', 'RAB3GAP1', 'ARHGDIA', 'SHROOM3', 'RILP', 'YWHAE']	['RAB3GAP2', 'RAB3GAP1']	['Cataract-intellectual disability-hypogonadism syndrome', 'Cataract-intellectual disability-hypogonadism syndrome']
5	REAC	REAC:R-HSA-8854214	TBC/RABGAPs	2.335776217040389e-18	True	TBC/RABGAPs	44	124	16	10022	0.1290322580645161	0.3636363636363636	query_1	['REAC:R-HSA-9007101']	['RAB8A', 'GGA3', 'GGA2', 'RAB6A', 'RAB5B', 'RAB8B', 'RAB5A', 'RAB7A', 'TBC1D17', 'RAB4A', 'RAB5C', 'OPTN', 'RABEP1', 'GGA1', 'RAB35', 'RABGEF1']	0	0
