	Gene	Nb of communities in cluster	degree PPI ntw	degree Pathways ntw	degree Coexp ntw	degree Complexes ntw	max degree	sum degrees
35	RCOR1	4	7	4		58	58	69
112	RUVBL1	4	15	11		64	64	90
18	KDM1A	4	248	12		57	248	317
124	SMARCA4	4	33	15		83	83	131
19	TRRAP	4	4	7		71	71	82
89	KAT5	4	275	55		26	275	356
77	CTNNB1	4	103	66		59	103	228
126	SYTL3	3	3			2	3	5
95	KIF5B	3	28			7	28	35
25	SMAD1	3	93	15		5	93	113
26	MYRIP	3	7	2			7	9
13	ODC1	3	15	5		2	15	22
104	STAT3	3	121	63		11	121	195
120	MYO5A	3	7	3		30	30	40
115	OAZ1	3	10	2		4	10	16
143	OAZ2	3	3	2		1	3	6
153	KLC2	3	8	7		5	8	20
151	USP37	3		4			4	4
54	OAZ3	3	16	2	1455		1455	1473
1	KLC1	3	18	7		7	18	32
137	KIF5A	3	22	7		7	22	36
75	NQO1	3	3	1	26	8	26	38
34	AZIN1	3	7	4		1	7	12
148	RAB27A	3	18	7		2	18	27
59	KLC4	3	32			5	32	37
30	PSMC5	3	60	4		45	60	109
121	FOXG1	1	7	5		3	7	15
150	CITED4	1	1	5			5	6
3	NUB1	1	11	2		3	11	16
4	MCM6	1	34	28		24	34	86
130	CAND1	1	6	9		9	9	24
145	TFAP2B	1	11	11	114		114	136
144	CUL3	1	71	25	720	51	720	867
123	FOXH1	1	69	4	57	4	69	134
139	YEATS4	1	13	1		25	25	39
138	CUL4B	1	5	25		30	30	60
135	SUZ12	1	8	22		12	22	42
134	YY1	1	71	15		36	71	122
117	ORC3	1	12	13		7	13	32
132	NPLOC4	1	6	13		5	13	24
133	ORC4	1	25	13		7	25	45
46	TGIF1	1	21	4		4	21	29
17	KCTD15	1	22	3		5	22	30
63	MCM4	1	23	28		23	28	74
70	GMNN	1	23	1		18	23	42
69	CTCF	1	15	5		11	15	31
68	CUL4A	1	8	25		76	76	109
38	C3orf62	1	11		785	2	785	798
39	ORC2	1	21	14		11	21	46
40	DDB2	1	6	11		21	21	38
64	ERCC6	1	27			8	27	35
41	UBD	1	10	1			10	11
114	USP24	1	3	2		7	7	12
60	EZH2	1	51	20		11	51	82
58	UFD1	1	20	15		7	20	42
56	DDB1	1	31	26		93	93	150
55	CDC6	1	21	27		8	27	56
44	ACOT1	1				1	1	1
51	BTRC	1	35	31		19	35	85
50	COPS5	1	91	6		25	91	122
76	VCP	1	80	31		23	80	134
78	ERCC8	1	17	4		12	17	33
79	TFAP2C	1	75	13	78	2	78	168
33	ORC6	1	17	16		9	17	42
20	CITED2	1	11	5		2	11	18
108	MCM2	1	41	28		35	41	104
106	REST	1	3	4		2	4	9
22	NEDD8	1	24	21		15	24	60
102	PCNA	1	324	55		56	324	435
101	KCTD1	1	22	3			22	25
47	TFAP2A	1	84	13	75	2	84	174
97	MCM7	1	67	28		11	67	106
96	CDT1	1	9	16		18	18	43
91	ORC5	1	26	13		7	26	46
28	AR	1	144	15		10	144	169
29	ORC1	1	24	17		10	24	51
85	FOXO3	1	7	19		8	19	34
82	CDC25B	1	8	4		1	8	13
81	KDM5B	1	2	2	791	6	791	801
100	EED	1	44	20		13	44	77
