Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
			GO:2000779	regulation of double-strand break repair	146	GO:2000779	regulation of double-strand break repair	402	GO:2000779	regulation of double-strand break repair	1708									
			GO:0030174	regulation of DNA-templated DNA replication initiation	191	GO:0030174	regulation of DNA-templated DNA replication initiation	152												
			GO:0032212	positive regulation of telomere maintenance via telomerase	157															
			GO:1902969	mitotic DNA replication	159	GO:1902969	mitotic DNA replication	543												
			GO:0031848	protection from non-homologous end joining at telomere	163															
			GO:0032211	negative regulation of telomere maintenance via telomerase	165															
			GO:0090329	regulation of DNA-templated DNA replication	167	GO:0090329	regulation of DNA-templated DNA replication	222												
			GO:2000573	positive regulation of DNA biosynthetic process	169							GO:2000573	positive regulation of DNA biosynthetic process	973	GO:2000573	positive regulation of DNA biosynthetic process	514			
			GO:0006268	DNA unwinding involved in DNA replication	170	GO:0006268	DNA unwinding involved in DNA replication	416												
			GO:2000279	negative regulation of DNA biosynthetic process	173				GO:2000279	negative regulation of DNA biosynthetic process	1262									
			GO:0090657	telomeric loop disassembly	176															
			GO:0045739	positive regulation of DNA repair	177	GO:0045739	positive regulation of DNA repair	279	GO:0045739	positive regulation of DNA repair	1211									
			GO:0010569	regulation of double-strand break repair via homologous recombination	180	GO:0010569	regulation of double-strand break repair via homologous recombination	333												
			GO:0043247	telomere maintenance in response to DNA damage	193															
			GO:0051973	positive regulation of telomerase activity	196							GO:0051973	positive regulation of telomerase activity	928	GO:0051973	positive regulation of telomerase activity	977			
			GO:0000727	double-strand break repair via break-induced replication	200	GO:0000727	double-strand break repair via break-induced replication	327												
			GO:0000729	DNA double-strand break processing	202															
			GO:0000731	DNA synthesis involved in DNA repair	208	GO:0000731	DNA synthesis involved in DNA repair	950												
			GO:0045190	isotype switching	210															
			GO:0002208	somatic diversification of immunoglobulins involved in immune response	211															
			GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	212															
			GO:0045910	negative regulation of DNA recombination	213															
			GO:0045911	positive regulation of DNA recombination	214	GO:0045911	positive regulation of DNA recombination	420												
			GO:0070200	establishment of protein localization to telomere	228															
			GO:0033151	V(D)J recombination	232															
			GO:0070914	UV-damage excision repair	243	GO:0070914	UV-damage excision repair	487												
			GO:0006301	postreplication repair	262															
			GO:0051974	negative regulation of telomerase activity	299				GO:0051974	negative regulation of telomerase activity	956									
			GO:1905168	positive regulation of double-strand break repair via homologous recombination	304	GO:1905168	positive regulation of double-strand break repair via homologous recombination	306												
			GO:0019985	translesion synthesis	308															
			GO:0000712	resolution of meiotic recombination intermediates	315															
			GO:2000781	positive regulation of double-strand break repair	320	GO:2000781	positive regulation of double-strand break repair	376	GO:2000781	positive regulation of double-strand break repair	1926									
						GO:0006305	DNA alkylation	324	GO:0006305	DNA alkylation	1640									
						GO:0006306	DNA methylation	325	GO:0006306	DNA methylation	1639									
			GO:0042276	error-prone translesion synthesis	349															
			GO:2001032	regulation of double-strand break repair via nonhomologous end joining	378															
			GO:1904355	positive regulation of telomere capping	403										GO:1904355	positive regulation of telomere capping	1610			
			GO:0045738	negative regulation of DNA repair	409															
			GO:1904505	regulation of telomere maintenance in response to DNA damage	416	GO:1904505	regulation of telomere maintenance in response to DNA damage	1092												
			GO:0045191	regulation of isotype switching	421															
			GO:0045740	positive regulation of DNA replication	423	GO:0045740	positive regulation of DNA replication	592												
			GO:0032042	mitochondrial DNA metabolic process	424															
			GO:0006304	DNA modification	429	GO:0006304	DNA modification	453	GO:0006304	DNA modification	1862									
			GO:0032070	regulation of deoxyribonuclease activity	431	GO:0032070	regulation of deoxyribonuclease activity	804	GO:0032070	regulation of deoxyribonuclease activity	1786									
			GO:0008156	negative regulation of DNA replication	457	GO:0008156	negative regulation of DNA replication	437												
			GO:0048304	positive regulation of isotype switching to IgG isotypes	447															
			GO:0070203	regulation of establishment of protein localization to telomere	468															
			GO:0045830	positive regulation of isotype switching	477															
			GO:0070202	regulation of establishment of protein localization to chromosome	482															
			GO:0006285	base-excision repair, AP site formation	483															
			GO:0048302	regulation of isotype switching to IgG isotypes	510															
			GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	511															
			GO:2000780	negative regulation of double-strand break repair	515															
			GO:0048291	isotype switching to IgG isotypes	526															
			GO:0044030	regulation of DNA methylation	590				GO:0044030	regulation of DNA methylation	871									
			GO:0006265	DNA topological change	657															
			GO:2000819	regulation of nucleotide-excision repair	668	GO:2000819	regulation of nucleotide-excision repair	765	GO:2000819	regulation of nucleotide-excision repair	1034									
			GO:1904851	positive regulation of establishment of protein localization to telomere	678															
						GO:2000104	negative regulation of DNA-templated DNA replication	767												
						GO:2000105	positive regulation of DNA-templated DNA replication	943												
						GO:1904507	positive regulation of telomere maintenance in response to DNA damage	1001												
						GO:0060382	regulation of DNA strand elongation	1049												
GO:0051171	regulation of nitrogen compound metabolic process	1
			GO:0051171	regulation of nitrogen compound metabolic process	127	GO:0051171	regulation of nitrogen compound metabolic process	1	GO:0051171	regulation of nitrogen compound metabolic process	38	GO:0051171	regulation of nitrogen compound metabolic process	109	GO:0051171	regulation of nitrogen compound metabolic process	611			
						GO:1903507	negative regulation of nucleic acid-templated transcription	5	GO:1903507	negative regulation of nucleic acid-templated transcription	44									
			GO:0045893	positive regulation of DNA-templated transcription	573	GO:0045893	positive regulation of DNA-templated transcription	84	GO:0045893	positive regulation of DNA-templated transcription	5	GO:0045893	positive regulation of DNA-templated transcription	452	GO:0045893	positive regulation of DNA-templated transcription	1474			
						GO:0045892	negative regulation of DNA-templated transcription	6	GO:0045892	negative regulation of DNA-templated transcription	43									
			GO:1903508	positive regulation of nucleic acid-templated transcription	572	GO:1903508	positive regulation of nucleic acid-templated transcription	86	GO:1903508	positive regulation of nucleic acid-templated transcription	6	GO:1903508	positive regulation of nucleic acid-templated transcription	453	GO:1903508	positive regulation of nucleic acid-templated transcription	1475			
						GO:1902679	negative regulation of RNA biosynthetic process	7	GO:1902679	negative regulation of RNA biosynthetic process	47									
			GO:0045934	negative regulation of nucleobase-containing compound metabolic process	92	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	8	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	53									
			GO:1902680	positive regulation of RNA biosynthetic process	536	GO:1902680	positive regulation of RNA biosynthetic process	87	GO:1902680	positive regulation of RNA biosynthetic process	8	GO:1902680	positive regulation of RNA biosynthetic process	456	GO:1902680	positive regulation of RNA biosynthetic process	1493			
			GO:0051254	positive regulation of RNA metabolic process	464	GO:0051254	positive regulation of RNA metabolic process	96	GO:0051254	positive regulation of RNA metabolic process	11	GO:0051254	positive regulation of RNA metabolic process	438						
			GO:0019219	regulation of nucleobase-containing compound metabolic process	70	GO:0019219	regulation of nucleobase-containing compound metabolic process	13	GO:0019219	regulation of nucleobase-containing compound metabolic process	27	GO:0019219	regulation of nucleobase-containing compound metabolic process	221						
			GO:0045935	positive regulation of nucleobase-containing compound metabolic process	102	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	88	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	13	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	321	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1345			
			GO:0045944	positive regulation of transcription by RNA polymerase II	673	GO:0045944	positive regulation of transcription by RNA polymerase II	117	GO:0045944	positive regulation of transcription by RNA polymerase II	14	GO:0045944	positive regulation of transcription by RNA polymerase II	504						
			GO:0006355	regulation of DNA-templated transcription	553	GO:0006355	regulation of DNA-templated transcription	28	GO:0006355	regulation of DNA-templated transcription	15	GO:0006355	regulation of DNA-templated transcription	247						
			GO:1903506	regulation of nucleic acid-templated transcription	556	GO:1903506	regulation of nucleic acid-templated transcription	29	GO:1903506	regulation of nucleic acid-templated transcription	16	GO:1903506	regulation of nucleic acid-templated transcription	249						
			GO:0051253	negative regulation of RNA metabolic process	445	GO:0051253	negative regulation of RNA metabolic process	17	GO:0051253	negative regulation of RNA metabolic process	52									
			GO:2001141	regulation of RNA biosynthetic process	534	GO:2001141	regulation of RNA biosynthetic process	31	GO:2001141	regulation of RNA biosynthetic process	17	GO:2001141	regulation of RNA biosynthetic process	235						
						GO:0006357	regulation of transcription by RNA polymerase II	40	GO:0006357	regulation of transcription by RNA polymerase II	20									
			GO:0051173	positive regulation of nitrogen compound metabolic process	119	GO:0051173	positive regulation of nitrogen compound metabolic process	62	GO:0051173	positive regulation of nitrogen compound metabolic process	22	GO:0051173	positive regulation of nitrogen compound metabolic process	83	GO:0051173	positive regulation of nitrogen compound metabolic process	228			
																		GO:0035278	miRNA-mediated gene silencing by inhibition of translation	22
			GO:0051252	regulation of RNA metabolic process	413	GO:0051252	regulation of RNA metabolic process	41	GO:0051252	regulation of RNA metabolic process	25	GO:0051252	regulation of RNA metabolic process	286						
																		GO:0031054	pre-miRNA processing	31
			GO:0051172	negative regulation of nitrogen compound metabolic process	136	GO:0051172	negative regulation of nitrogen compound metabolic process	33	GO:0051172	negative regulation of nitrogen compound metabolic process	63	GO:0051172	negative regulation of nitrogen compound metabolic process	748						
			GO:0001932	regulation of protein phosphorylation	507	GO:0001932	regulation of protein phosphorylation	219	GO:0001932	regulation of protein phosphorylation	341	GO:0001932	regulation of protein phosphorylation	341	GO:0001932	regulation of protein phosphorylation	33			
			GO:0001934	positive regulation of protein phosphorylation	634	GO:0001934	positive regulation of protein phosphorylation	676	GO:0001934	positive regulation of protein phosphorylation	986	GO:0001934	positive regulation of protein phosphorylation	476	GO:0001934	positive regulation of protein phosphorylation	36			
						GO:0000122	negative regulation of transcription by RNA polymerase II	37	GO:0000122	negative regulation of transcription by RNA polymerase II	57									
			GO:0051090	regulation of DNA-binding transcription factor activity	475	GO:0051090	regulation of DNA-binding transcription factor activity	210	GO:0051090	regulation of DNA-binding transcription factor activity	314	GO:0051090	regulation of DNA-binding transcription factor activity	51						
			GO:0031401	positive regulation of protein modification process	402	GO:0031401	positive regulation of protein modification process	269	GO:0031401	positive regulation of protein modification process	453	GO:0031401	positive regulation of protein modification process	205	GO:0031401	positive regulation of protein modification process	53			
			GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	353	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	54	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	89	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	1120						
			GO:1904029	regulation of cyclin-dependent protein kinase activity	361	GO:1904029	regulation of cyclin-dependent protein kinase activity	55	GO:1904029	regulation of cyclin-dependent protein kinase activity	90	GO:1904029	regulation of cyclin-dependent protein kinase activity	889	GO:1904029	regulation of cyclin-dependent protein kinase activity	1573			
												GO:0051092	positive regulation of NF-kappaB transcription factor activity	56						
			GO:0051247	positive regulation of protein metabolic process	387	GO:0051247	positive regulation of protein metabolic process	175	GO:0051247	positive regulation of protein metabolic process	325	GO:0051247	positive regulation of protein metabolic process	61	GO:0051247	positive regulation of protein metabolic process	76	GO:0051247	positive regulation of protein metabolic process	193
																		GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	64
			GO:0031399	regulation of protein modification process	342	GO:0031399	regulation of protein modification process	126	GO:0031399	regulation of protein modification process	230	GO:0031399	regulation of protein modification process	171	GO:0031399	regulation of protein modification process	68			
			GO:0051246	regulation of protein metabolic process	343	GO:0051246	regulation of protein metabolic process	95	GO:0051246	regulation of protein metabolic process	187	GO:0051246	regulation of protein metabolic process	70	GO:0051246	regulation of protein metabolic process	113	GO:0051246	regulation of protein metabolic process	148
																		GO:0060211	regulation of nuclear-transcribed mRNA poly(A) tail shortening	70
						GO:0045862	positive regulation of proteolysis	484	GO:0045862	positive regulation of proteolysis	660	GO:0045862	positive regulation of proteolysis	71	GO:0045862	positive regulation of proteolysis	756			
						GO:0030162	regulation of proteolysis	401	GO:0030162	regulation of proteolysis	405	GO:0030162	regulation of proteolysis	74	GO:0030162	regulation of proteolysis	766			
						GO:2000116	regulation of cysteine-type endopeptidase activity	964	GO:2000116	regulation of cysteine-type endopeptidase activity	1281	GO:2000116	regulation of cysteine-type endopeptidase activity	75	GO:2000116	regulation of cysteine-type endopeptidase activity	428			
			GO:0051091	positive regulation of DNA-binding transcription factor activity	542	GO:0051091	positive regulation of DNA-binding transcription factor activity	412	GO:0051091	positive regulation of DNA-binding transcription factor activity	553	GO:0051091	positive regulation of DNA-binding transcription factor activity	78						
						GO:2001056	positive regulation of cysteine-type endopeptidase activity	1065	GO:2001056	positive regulation of cysteine-type endopeptidase activity	1552	GO:2001056	positive regulation of cysteine-type endopeptidase activity	87	GO:2001056	positive regulation of cysteine-type endopeptidase activity	556			
						GO:0061614	miRNA transcription	132	GO:0061614	miRNA transcription	91	GO:0061614	miRNA transcription	916						
						GO:0010952	positive regulation of peptidase activity	962	GO:0010952	positive regulation of peptidase activity	837	GO:0010952	positive regulation of peptidase activity	91	GO:0010952	positive regulation of peptidase activity	559			
						GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	824	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	1111	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	92	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	530			
						GO:0010950	positive regulation of endopeptidase activity	905	GO:0010950	positive regulation of endopeptidase activity	793	GO:0010950	positive regulation of endopeptidase activity	96	GO:0010950	positive regulation of endopeptidase activity	579			
						GO:1902893	regulation of miRNA transcription	130	GO:1902893	regulation of miRNA transcription	101	GO:1902893	regulation of miRNA transcription	908						
						GO:0052548	regulation of endopeptidase activity	850	GO:0052548	regulation of endopeptidase activity	844	GO:0052548	regulation of endopeptidase activity	101	GO:0052548	regulation of endopeptidase activity	513			
						GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	955	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	1408	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	103	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	801			
						GO:0071900	regulation of protein serine/threonine kinase activity	106	GO:0071900	regulation of protein serine/threonine kinase activity	188	GO:0071900	regulation of protein serine/threonine kinase activity	419	GO:0071900	regulation of protein serine/threonine kinase activity	360			
									GO:0052547	regulation of peptidase activity	882	GO:0052547	regulation of peptidase activity	106	GO:0052547	regulation of peptidase activity	626			
						GO:2000628	regulation of miRNA metabolic process	141	GO:2000628	regulation of miRNA metabolic process	110	GO:2000628	regulation of miRNA metabolic process	799						
																		GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	113
									GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	1512	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	119	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	1012			
																		GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	121
																		GO:0034249	negative regulation of amide metabolic process	123
																		GO:0061157	mRNA destabilization	129
												GO:0032088	negative regulation of NF-kappaB transcription factor activity	130						
																		GO:0061014	positive regulation of mRNA catabolic process	135
																		GO:0050779	RNA destabilization	136
																		GO:0017148	negative regulation of translation	139
			GO:0045859	regulation of protein kinase activity	516	GO:0045859	regulation of protein kinase activity	145	GO:0045859	regulation of protein kinase activity	245	GO:0045859	regulation of protein kinase activity	361	GO:0045859	regulation of protein kinase activity	182			
			GO:1903320	regulation of protein modification by small protein conjugation or removal	356	GO:1903320	regulation of protein modification by small protein conjugation or removal	256	GO:1903320	regulation of protein modification by small protein conjugation or removal	525	GO:1903320	regulation of protein modification by small protein conjugation or removal	148						
																		GO:1903018	regulation of glycoprotein metabolic process	149
																		GO:1903020	positive regulation of glycoprotein metabolic process	150
																		GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	152
			GO:1903322	positive regulation of protein modification by small protein conjugation or removal	501	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	290	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	1071	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	159						
						GO:1902895	positive regulation of miRNA transcription	189	GO:1902895	positive regulation of miRNA transcription	164	GO:1902895	positive regulation of miRNA transcription	835						
															GO:0050730	regulation of peptidyl-tyrosine phosphorylation	167			
																		GO:1903313	positive regulation of mRNA metabolic process	167
			GO:0042176	regulation of protein catabolic process	396	GO:0042176	regulation of protein catabolic process	172	GO:0042176	regulation of protein catabolic process	764	GO:0042176	regulation of protein catabolic process	559						
						GO:0043433	negative regulation of DNA-binding transcription factor activity	244	GO:0043433	negative regulation of DNA-binding transcription factor activity	581	GO:0043433	negative regulation of DNA-binding transcription factor activity	173						
						GO:2000630	positive regulation of miRNA metabolic process	203	GO:2000630	positive regulation of miRNA metabolic process	177	GO:2000630	positive regulation of miRNA metabolic process	681						
															GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	177			
																		GO:0042983	amyloid precursor protein biosynthetic process	181
																		GO:0042984	regulation of amyloid precursor protein biosynthetic process	183
			GO:0031396	regulation of protein ubiquitination	433	GO:0031396	regulation of protein ubiquitination	344	GO:0031396	regulation of protein ubiquitination	749	GO:0031396	regulation of protein ubiquitination	185						
			GO:0045860	positive regulation of protein kinase activity	637	GO:0045860	positive regulation of protein kinase activity	486	GO:0045860	positive regulation of protein kinase activity	1086	GO:0045860	positive regulation of protein kinase activity	550	GO:0045860	positive regulation of protein kinase activity	185			
																		GO:0034248	regulation of amide metabolic process	185
						GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	187	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	510									
																		GO:0006417	regulation of translation	188
																		GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	192
			GO:0031398	positive regulation of protein ubiquitination	451	GO:0031398	positive regulation of protein ubiquitination	378	GO:0031398	positive regulation of protein ubiquitination	1353	GO:0031398	positive regulation of protein ubiquitination	197						
			GO:0043488	regulation of mRNA stability	580													GO:0043488	regulation of mRNA stability	219
			GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	537	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	226	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	419									
			GO:0043487	regulation of RNA stability	389													GO:0043487	regulation of RNA stability	234
			GO:0061013	regulation of mRNA catabolic process	624													GO:0061013	regulation of mRNA catabolic process	237
			GO:1904031	positive regulation of cyclin-dependent protein kinase activity	562	GO:1904031	positive regulation of cyclin-dependent protein kinase activity	238	GO:1904031	positive regulation of cyclin-dependent protein kinase activity	442				GO:1904031	positive regulation of cyclin-dependent protein kinase activity	1339			
						GO:0051248	negative regulation of protein metabolic process	923	GO:0051248	negative regulation of protein metabolic process	534	GO:0051248	negative regulation of protein metabolic process	594	GO:0051248	negative regulation of protein metabolic process	595	GO:0051248	negative regulation of protein metabolic process	258
			GO:0045732	positive regulation of protein catabolic process	347	GO:0045732	positive regulation of protein catabolic process	292	GO:0045732	positive regulation of protein catabolic process	1160	GO:0045732	positive regulation of protein catabolic process	655				GO:0045732	positive regulation of protein catabolic process	262
						GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	266	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	377									
						GO:1904030	negative regulation of cyclin-dependent protein kinase activity	267	GO:1904030	negative regulation of cyclin-dependent protein kinase activity	376									
																		GO:1903059	regulation of protein lipidation	268
			GO:0032069	regulation of nuclease activity	288															
						GO:0043923	positive regulation by host of viral transcription	619	GO:0043923	positive regulation by host of viral transcription	289									
						GO:0071902	positive regulation of protein serine/threonine kinase activity	594	GO:0071902	positive regulation of protein serine/threonine kinase activity	1207	GO:0071902	positive regulation of protein serine/threonine kinase activity	723	GO:0071902	positive regulation of protein serine/threonine kinase activity	295			
			GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	494	GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	948	GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	1991							GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	307
												GO:0043405	regulation of MAP kinase activity	597	GO:0043405	regulation of MAP kinase activity	311			
						GO:0007183	SMAD protein complex assembly	312	GO:0007183	SMAD protein complex assembly	902									
												GO:0043406	positive regulation of MAP kinase activity	634	GO:0043406	positive regulation of MAP kinase activity	313			
			GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	319				GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	1511	GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	1164						
						GO:1902894	negative regulation of miRNA transcription	665	GO:1902894	negative regulation of miRNA transcription	322									
						GO:2000629	negative regulation of miRNA metabolic process	681	GO:2000629	negative regulation of miRNA metabolic process	327									
			GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	332	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	755	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	915									
						GO:1902459	positive regulation of stem cell population maintenance	332	GO:1902459	positive regulation of stem cell population maintenance	351									
			GO:2000058	regulation of ubiquitin-dependent protein catabolic process	337	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	693	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	685	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	1176						
												GO:0097202	activation of cysteine-type endopeptidase activity	337	GO:0097202	activation of cysteine-type endopeptidase activity	1176			
			GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	339	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1059	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1351									
			GO:0060767	epithelial cell proliferation involved in prostate gland development	701	GO:0060767	epithelial cell proliferation involved in prostate gland development	464	GO:0060767	epithelial cell proliferation involved in prostate gland development	346									
			GO:1903052	positive regulation of proteolysis involved in protein catabolic process	369	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	1021	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	1770									
						GO:0071901	negative regulation of protein serine/threonine kinase activity	369	GO:0071901	negative regulation of protein serine/threonine kinase activity	439	GO:0071901	negative regulation of protein serine/threonine kinase activity	923						
			GO:1901800	positive regulation of proteasomal protein catabolic process	385	GO:1901800	positive regulation of proteasomal protein catabolic process	897	GO:1901800	positive regulation of proteasomal protein catabolic process	1593									
															GO:1905906	regulation of amyloid fibril formation	405			
